dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,stage_loss,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,46.21254277229309,0.023891210556030273,0.6683937823834197,0.7461538461538462,0.6608477011494254,0.7607832801017086,0.7177442528735632,0.8099941083444449,-0.17673730517743902,-0.1553878089454837,0.6758620689655173,0.7232472324723247,1.0,1.0,0.8521739130434782,0.8909090909090909,0.020833333333333332,0.01680672268907563,0.7538461538461538,0.7983706720977597,0.647774367022567,0.6640754096469071,0.24352331606217617,0.3,,,,,,,,,,,,,,,,,,
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7512953367875648,0.6948717948717948,0.5,0.5,0.5,0.5,-0.190034269791145,-0.2120249835634451,1.0,1.0,1.0,1.0,0.7512953367875648,0.6948717948717948,0.0,0.0,0.8579881656804734,0.8199697428139183,0.8874695341584714,0.8874695341584713,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.0,
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7512953367875648,0.6948717948717948,0.5,0.5,0.5,0.5,-0.190034269791145,-0.2120249835634451,1.0,1.0,1.0,1.0,0.7512953367875648,0.6948717948717948,0.0,0.0,0.8579881656804734,0.8199697428139183,0.8874695341584714,0.8874695341584713,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.0,logreg
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7512953367875648,0.6948717948717948,0.5,0.5,0.5,0.5,-0.190034269791145,-0.2120249835634451,1.0,1.0,1.0,1.0,0.7512953367875648,0.6948717948717948,0.0,0.0,0.8579881656804734,0.8199697428139183,0.8874695341584714,0.8874695341584713,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.0,logreg_unregularized
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7512953367875648,0.6948717948717948,0.5,0.5,0.6199712643678161,0.6852305497844894,-0.18610505197035945,-0.1854571878863377,1.0,1.0,1.0,1.0,0.7512953367875648,0.6948717948717948,0.0,0.0,0.8579881656804734,0.8199697428139183,0.7733026067756169,0.785278119126315,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,1.0,
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7512953367875648,0.6948717948717948,0.5,0.5,0.6405172413793103,0.7024868988185681,-0.17821578189003964,-0.18575219676305987,1.0,1.0,1.0,1.0,0.7512953367875648,0.6948717948717948,0.0,0.0,0.8579881656804734,0.8199697428139183,0.7590570213817017,0.7826509061052032,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,1.0,logreg
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7512953367875648,0.6948717948717948,0.5,0.5,0.6405172413793103,0.7024868988185681,-0.17856877090286372,-0.1855643506782841,1.0,1.0,1.0,1.0,0.7512953367875648,0.6948717948717948,0.0,0.0,0.8579881656804734,0.8199697428139183,0.7548788955663347,0.7783238916566037,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.6735751295336787,0.7076923076923077,0.6503591954022988,0.7071847189060125,0.6729885057471265,0.7481007163012806,-0.17949839325887115,-0.17490097329946097,0.696551724137931,0.7084870848708487,1.0,1.0,0.8416666666666667,0.8458149779735683,0.0,0.0,0.7622641509433963,0.7710843373493976,0.7269630807188475,0.7462064557702043,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,2.0,
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7253886010362695,0.7,0.49669540229885056,0.5296133213432974,0.6664511494252874,0.7481627337281775,-0.1783927195717686,-0.1772625710024734,0.9517241379310345,0.966789667896679,1.0,1.0,0.75,0.7081081081081081,0.0,0.0,0.8389057750759878,0.8174726989079563,0.7402284398317845,0.7535769642141852,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,2.0,logreg
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7253886010362695,0.7,0.49669540229885056,0.5343266457874662,0.6657327586206896,0.748131725014729,-0.17862406860569313,-0.17714603339863716,0.9517241379310345,0.959409594095941,1.0,1.0,0.75,0.7103825136612022,0.0,0.0,0.8389057750759878,0.8163265306122449,0.7369822279670301,0.7505225253294151,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.6839378238341969,0.7230769230769231,0.6572557471264368,0.7135415051629508,0.6795258620689656,0.7767682718843996,-0.18433915371348863,-0.16615071509275234,0.7103448275862069,0.7380073800738007,1.0,1.0,0.8442622950819673,0.8438818565400844,0.0,0.0,0.7715355805243446,0.7874015748031497,0.7001824596245819,0.707267735907035,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,3.0,
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7253886010362695,0.6923076923076923,0.6012212643678161,0.5947781326552761,0.6880028735632184,0.7723030171478187,-0.18155340701361816,-0.16897701641035065,0.8482758620689655,0.8450184501845018,1.0,1.0,0.7987012987012987,0.745928338762215,0.0,0.0,0.822742474916388,0.7923875432525952,0.7105054958071936,0.7174352331876062,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,3.0,logreg
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7098445595854922,0.7025641025641025,0.5699712643678161,0.6115848553443517,0.6878591954022988,0.7723650345747155,-0.18175982000716268,-0.16886756319348778,0.8482758620689655,0.8450184501845018,1.0,1.0,0.7834394904458599,0.7557755775577558,0.0,0.0,0.8145695364238411,0.7979094076655052,0.708593330296147,0.7153666204830146,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,3.0,logreg_unregularized
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.6839378238341969,0.7230769230769231,0.6572557471264368,0.7135415051629508,0.6999281609195401,0.7872647213867097,-0.17565568003928064,-0.16359928546511354,0.7103448275862069,0.7380073800738007,1.0,1.0,0.8442622950819673,0.8438818565400844,0.0,0.0,0.7715355805243446,0.7874015748031497,0.6897579344584736,0.6982999441680388,0.24870466321243523,0.30512820512820515,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,0.30512820512820515,0.24870466321243523,4.0,
41945,25,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7409326424870466,0.7256410256410256,0.5976293103448276,0.632903345840181,0.7205459770114943,0.782690936153059,-0.17406094612951203,-0.1673277115067858,0.8827586206896552,0.8708487084870848,1.0,1.0,0.7950310559006211,0.7662337662337663,0.0,0.0,0.8366013071895425,0.8151986183074266,0.6995977224689532,0.7111199519227558,0.24870466321243523,0.30512820512820515,,,,,,,,,,,,,,,,,4.0,logreg
