dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",49.1741783618927,0.00920724868774414,0.7253886010362695,0.7153846153846154,0.5149213962163602,0.5088495575221239,0.6419531041833201,0.7503594134372703,-0.20218039855408057,-0.17240308863692247,0.7066890243239714,0.7244826990829002,0.3212435233160622,0.2846153846153846,,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7102564102564103,0.5,0.5,0.5,0.5,-0.2016090311700994,-0.20579224584474853,0.8684705493385643,0.8684705493385642,0.27979274611398963,0.28974358974358977,0.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7102564102564103,0.5,0.5,0.6397548627764456,0.6529663589022716,-0.18438512711550056,-0.1852689793868962,0.7942155426929393,0.7786223856564092,0.27979274611398963,0.28974358974358977,1.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7102564102564103,0.5,0.5,0.6641353583799627,0.6969266157630747,-0.18280884809189302,-0.1833077723390785,0.7774936422922553,0.7725187485027716,0.27979274611398963,0.28974358974358977,1.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7102564102564103,0.5,0.5,0.6897815081268319,0.7107121178237117,-0.17812502851848688,-0.1750756602813593,0.7516394495874646,0.7421292250874985,0.27979274611398963,0.28974358974358977,2.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7128205128205128,0.5,0.5122839525893741,0.7096322941646682,0.7452158078016677,-0.1783485991636738,-0.17403997060504114,0.7454644650293927,0.7342740056778315,0.27979274611398963,0.28974358974358977,2.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7102564102564103,0.5,0.5,0.6838529176658673,0.7298648605475863,-0.18205282362887032,-0.17034232514033218,0.7328348819955797,0.7232561545339775,0.27979274611398963,0.28974358974358977,3.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7409326424870466,0.7230769230769231,0.5710098587796429,0.5849972844318073,0.7156941113775647,0.7684578767451519,-0.1789861388754872,-0.1686922508653572,0.7218315006304853,0.7147073975483768,0.27979274611398963,0.28974358974358977,3.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7150259067357513,0.7230769230769231,0.5077271516120437,0.5221238938053098,0.6838529176658673,0.7401360978882464,-0.19021673568947295,-0.1663765017598576,0.7068983080718181,0.7069940229758894,0.42487046632124353,0.27692307692307694,4.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7409326424870466,0.7230769230769231,0.5936584066080469,0.5876170090412447,0.7190247801758594,0.7690489121753299,-0.17895514648482086,-0.16767177903519317,0.7162680117164099,0.711087638059195,0.27979274611398963,0.28974358974358977,4.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7150259067357513,0.7230769230769231,0.5077271516120437,0.5221238938053098,0.6951105782041034,0.749017603271461,-0.18756609137316996,-0.164119809596288,0.6912435789229885,0.6953894082725434,0.42487046632124353,0.27692307692307694,5.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7357512953367875,0.7256410256410256,0.5957234212629896,0.6025206862400562,0.7271516120436984,0.7772914603367305,-0.17601124071804766,-0.1653343657386589,0.705313977849608,0.7027956122886027,0.27979274611398963,0.28974358974358977,5.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7202072538860104,0.7230769230769231,0.511324273914202,0.5221238938053098,0.6975086597388755,0.754544583240152,-0.18467905960058012,-0.16258273935227352,0.6831913610278423,0.6889355932714057,0.37305699481865284,0.27692307692307694,6.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7409326424870466,0.7307692307692307,0.5993205435651479,0.6035110699338679,0.7208899547029043,0.7830101274719657,-0.17737115151834087,-0.1644948297185438,0.7054136872628439,0.7005599127439348,0.27979274611398963,0.28974358974358977,6.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7150259067357513,0.7230769230769231,0.5077271516120437,0.5221238938053098,0.6889821476152411,0.7569087249608638,-0.1895208196581823,-0.1616786810098708,0.6655959203629055,0.6825828933723596,0.42487046632124353,0.27692307692307694,7.0,
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7357512953367875,0.7307692307692307,0.5957234212629896,0.6035110699338679,0.7158273381294964,0.7827864924443309,-0.17868221364261008,-0.16445256828856786,0.7088432452790036,0.7006919942161144,0.27979274611398963,0.28974358974358977,7.0,logreg
41945,27,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7150259067357513,0.7230769230769231,0.5077271516120437,0.5221238938053098,0.6903810285105249,0.7580907958212197,-0.1898089075816533,-0.16117727369907278,0.665435310563491,0.6786855070340126,0.42487046632124353,0.27692307692307694,8.0,
