dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,train_wloss,test_wloss,stage,clf_variant
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",0.44934749603271484,0.006984710693359375,0.7098445595854922,0.7307692307692307,0.585203818369453,0.5944805194805195,0.7058823529411765,0.7318181818181817,-0.18323290344021084,-0.1741632598944009,0.7789279867131571,0.7422613013703311,0.2794871794871795,0.2794871794871795,,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.717948717948718,0.5,0.5,0.5,0.5,-0.20828947413243942,-0.20249835634451016,0.8582307926411411,0.8582307926411411,,,0.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.717948717948718,0.5,0.5,0.5,0.5,-0.20828947413243942,-0.20249835634451016,0.8582307926411411,0.8582307926411411,,,0.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.717948717948718,0.5,0.5,0.6450593395252838,0.6558441558441559,-0.19010034989170171,-0.18225049803997173,0.764568081967117,0.7681906263810229,,,1.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.717948717948718,0.5,0.5,0.6450593395252838,0.6558441558441559,-0.1900502575666101,-0.18239286139778862,0.7822019555779247,0.7853655563256465,,,1.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.717948717948718,0.5,0.5,0.7038183694530443,0.7341720779220778,-0.18493752658180282,-0.17183441847170175,0.7173109251461434,0.7302892946058446,,,2.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.717948717948718,0.5,0.5,0.7038183694530443,0.7341720779220778,-0.18480983390730804,-0.1719520777271967,0.7357254531061487,0.7482394868116268,,,2.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6735751295336787,0.7435897435897436,0.5187048503611971,0.5868506493506493,0.6678921568627452,0.7742532467532468,-0.19766435531693577,-0.16054687456708364,0.6920613840351055,0.6915283409496491,,,3.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7410256410256411,0.5291537667698658,0.5547077922077922,0.6755030959752322,0.773051948051948,-0.19435822993877935,-0.16116400904701328,0.7170182126559156,0.7178370342018837,,,3.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7538461538461538,0.5370872033023736,0.5829545454545455,0.7053663570691434,0.7821590909090909,-0.18911390148085794,-0.15851609864644803,0.7082614858036682,0.6833263193279202,,,4.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.689119170984456,0.7538461538461538,0.5297342621259029,0.588474025974026,0.7002708978328174,0.7863961038961038,-0.18783630360433648,-0.1587500721462692,0.7221004294435109,0.7064945884216779,,,4.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7538461538461538,0.5370872033023736,0.5801948051948052,0.7209107327141383,0.7862012987012987,-0.18640394769912605,-0.15774878352324004,0.7004867943780607,0.6790450418986665,,,5.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.689119170984456,0.7512820512820513,0.5297342621259029,0.5811688311688312,0.7093008255933952,0.7913636363636364,-0.18597015421936067,-0.157987162807797,0.717311331269436,0.7002968309034506,,,5.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7512820512820513,0.5481166150670795,0.5756493506493506,0.7314241486068112,0.7813474025974025,-0.18270493582081776,-0.15954493599193234,0.6981616466022538,0.682172202294374,,,6.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.689119170984456,0.7512820512820513,0.5297342621259029,0.5811688311688312,0.7095588235294117,0.7905681818181818,-0.1843568457776212,-0.15796737585573242,0.7160568952091,0.6989326148075299,,,6.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7461538461538462,0.5328302373581011,0.5582792207792208,0.7213622291021672,0.7715422077922078,-0.1830906430299971,-0.16147924161217383,0.7205371692290053,0.6919924483441876,,,7.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.689119170984456,0.7512820512820513,0.5297342621259029,0.5811688311688312,0.712203302373581,0.7953084415584415,-0.183744967021453,-0.157811274459665,0.708566251775682,0.6969728280152672,,,7.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7202072538860104,0.7410256410256411,0.5314112487100103,0.5436688311688311,0.7265866873065016,0.7582954545454544,-0.17938341897019675,-0.16436536809751098,0.7497661580895525,0.7028839230199448,,,8.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.689119170984456,0.7512820512820513,0.5297342621259029,0.5811688311688312,0.7106553147574819,0.799090909090909,-0.1850109990221422,-0.1575622651087026,0.7070551189177556,0.6963143628834751,,,8.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7333333333333333,0.5379256965944272,0.5521103896103896,0.7141382868937048,0.7557467532467534,-0.18105977899393058,-0.16711825607157035,0.7535429121337404,0.7152167050167717,,,9.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7538461538461538,0.5648219814241486,0.5967532467532468,0.7085913312693499,0.7996590909090909,-0.18497644049478768,-0.15740878824015186,0.7064107161189497,0.6959458999508185,,,9.0,logreg
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7307692307692307,0.585203818369453,0.5944805194805195,0.7058823529411765,0.7318181818181817,-0.18323290344021084,-0.1741632598944009,0.7789279867131571,0.7422613013703311,,,10.0,
41945,31,"{'score_set': '(1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7253886010362695,0.7589743589743589,0.601328689370485,0.638961038961039,0.7089783281733746,0.7987175324675325,-0.1852378580949502,-0.1570162233593767,0.7039079719227851,0.6941569070747943,,,10.0,logreg
