dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",0.3078114986419678,0.008733510971069336,0.7098445595854922,0.7205128205128205,0.5052789363920751,0.514433788627337,0.7001433785192908,0.7425005650812101,-0.1888279579637278,-0.1683901772909978,0.6947911170302885,0.7146491287371092,0.29015544041450775,0.2846153846153846,,
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.5,0.5,-0.20599595303062823,-0.20360946745562133,0.8616636287106234,0.8616636287106234,0.29015544041450775,0.2846153846153846,0.0,
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.6459202294056309,0.6852174755400561,-0.19152628266837823,-0.17903924789431377,0.75957687191752,0.76176384063753,0.29015544041450775,0.2846153846153846,1.0,
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.6459202294056309,0.6852174755400561,-0.19097425322098804,-0.17913972050752244,0.7735628803205565,0.7755606731211142,0.29015544041450775,0.2846153846153846,1.0,logreg
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.6693169968717414,0.7394168361910298,-0.19119846898043488,-0.16679171295993725,0.7203306813514512,0.7140531038494013,0.29015544041450775,0.2846153846153846,2.0,
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.6671011470281543,0.7415479996125158,-0.18908650137450614,-0.167396269303548,0.743965663997582,0.7386782788178455,0.29015544041450775,0.2846153846153846,2.0,logreg
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7435897435897436,0.5458811261730969,0.5766734476411896,0.6889989572471324,0.7572734024346928,-0.18723532082773492,-0.16379254349385203,0.702253772741937,0.7027844956845296,0.29015544041450775,0.2846153846153846,3.0,
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7435897435897436,0.5458811261730969,0.5766734476411896,0.6861313868613139,0.7674771545739287,-0.186825880093789,-0.16255259859353033,0.7277670292523631,0.7253060235851674,0.29015544041450775,0.2846153846153846,3.0,logreg
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7305699481865285,0.7384615384615385,0.5515510948905109,0.5459653201588686,0.7231491136600625,0.7850592528011883,-0.18170818389779742,-0.1559894967985154,0.6502617142905223,0.6762133620107573,0.29015544041450775,0.2846153846153846,4.0,
41945,33,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7435897435897436,0.5458811261730969,0.5766734476411896,0.7182612095933263,0.7959733927475863,-0.1795742046993,-0.15556912073838816,0.6880608598933845,0.7000485537598445,0.29015544041450775,0.2846153846153846,4.0,logreg
