dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,stage_loss,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,22.679038047790527,0.008708000183105469,0.7098445595854922,0.7692307692307693,0.5475104275286757,0.6407052213503827,0.7122653806047967,0.7944880364235203,-0.19514147839443408,-0.156407180049714,0.6566399018886548,0.6795173397460876,0.29015544041450775,0.28205128205128205,,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.5,0.5,-0.20599595303062823,-0.20360946745562133,0.8616636287106234,0.8616636287106234,0.29015544041450775,0.2846153846153846,0.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.5,0.5,-0.20599595303062823,-0.20360946745562133,0.8616636287106234,0.8616636287106234,0.29015544041450775,0.2846153846153846,0.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.6133993743482794,0.6723820594788337,-0.2000953961700831,-0.1837294664699773,0.7600711473689469,0.7871263107528845,0.29015544041450775,0.2846153846153846,1.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7098445595854922,0.7153846153846154,0.5,0.5,0.680526590198123,0.6867674125738643,-0.19109066506780523,-0.1843402422179784,0.7609420654237394,0.7783193325152521,0.29015544041450775,0.2846153846153846,1.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.6839378238341969,0.7256410256410256,0.5609358706986444,0.6536375084762182,0.6248044838373306,0.7252252252252251,-0.2023328588188212,-0.1762831280236929,0.737565701925623,0.7593077681991584,0.29015544041450775,0.2846153846153846,2.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7357512953367875,0.7230769230769231,0.5763164754953076,0.5569117504601375,0.6715980187695516,0.7294714068907617,-0.1884478925535344,-0.1778397037484865,0.7381697729582448,0.7553331423120471,0.29015544041450775,0.2846153846153846,2.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7202072538860104,0.7230769230769231,0.5864833159541188,0.6301462753075656,0.7009906152241919,0.7539313507055443,-0.18440754921978586,-0.16865353794224217,0.707753974810767,0.7223801276162333,0.29015544041450775,0.2846153846153846,3.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7357512953367875,0.717948717948718,0.5763164754953076,0.5587523006877846,0.745177267987487,0.7476024411508283,-0.17311859012052289,-0.17330136756469006,0.6852956901517279,0.7313352142586816,0.29015544041450775,0.2846153846153846,3.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7150259067357513,0.7461538461538462,0.5669968717413972,0.6245761890923182,0.7257559958289885,0.7705770286415448,-0.1814228542038192,-0.16501763416358714,0.6829171213518679,0.7109273525454741,0.29015544041450775,0.2846153846153846,4.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7461139896373057,0.7256410256410256,0.5941736183524505,0.5668410345829701,0.7563868613138687,0.7516548806871388,-0.1703004394040668,-0.17200258783041142,0.6758261463833384,0.729967342270971,0.29015544041450775,0.2846153846153846,4.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7150259067357513,0.7461538461538462,0.5669968717413972,0.6245761890923182,0.7178701772679875,0.7785688914721173,-0.18437980131507592,-0.16155904807094737,0.663880675888244,0.6965161209105142,0.29015544041450775,0.2846153846153846,5.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7461139896373057,0.7128205128205128,0.5888946819603754,0.5524556814879396,0.7589937434827946,0.7525267202686559,-0.16975291620093144,-0.1720546032870459,0.6761602084259051,0.7294453580664942,0.29015544041450775,0.2846153846153846,5.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7150259067357513,0.7461538461538462,0.5669968717413972,0.6245761890923182,0.7271897810218978,0.7844618812360747,-0.18248138736545494,-0.1601094836136399,0.6534195088907874,0.685720897157709,0.29015544041450775,0.2846153846153846,6.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7357512953367875,0.7153846153846154,0.5763164754953076,0.5596725758016081,0.7523461939520334,0.7509444928799767,-0.17135131736861325,-0.17205768667144555,0.6723554008990206,0.7245371986061317,0.29015544041450775,0.2846153846153846,6.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7150259067357513,0.7512820512820513,0.5669968717413972,0.6335851981013272,0.7369655891553701,0.7910168232748879,-0.18030602228126458,-0.1592111602937093,0.6510156804144225,0.6835692640824481,0.29015544041450775,0.2846153846153846,7.0,
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7202072538860104,0.7410256410256411,0.5706465067778936,0.596580451419161,0.758733055265902,0.7554974329167877,-0.17203663085923523,-0.16975414477372056,0.6720121925963422,0.7169953502531475,0.29015544041450775,0.2846153846153846,7.0,logreg
41945,36,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.7150259067357513,0.7589743589743589,0.5564389989572471,0.6308243727598566,0.7163712200208551,0.7952468597629888,-0.19036393538717264,-0.15737114704017163,0.6522844988481301,0.6806544305304929,0.29015544041450775,0.2846153846153846,8.0,
