dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",3.2558481693267822,0.008514404296875,0.6787564766839378,0.7230769230769231,0.5303783485225075,0.638874905612887,0.6891742612537974,0.7789139189529324,-0.18292344117394235,-0.16253668770310106,0.6825457577439527,0.6921042529085211,0.26424870466321243,0.29743589743589743,,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7025641025641025,0.5,0.5,0.5,0.5,-0.1955227165111581,-0.20896778435239977,0.8781339389650398,0.8781339389650396,0.26424870466321243,0.29743589743589743,0.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7025641025641025,0.5,0.5,0.5,0.5,-0.1955227165111581,-0.20896778435239977,0.8781339389650398,0.8781339389650396,0.26424870466321243,0.29743589743589743,0.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7025641025641025,0.5,0.5,0.6559652029826015,0.6805310848225523,-0.1806274874344138,-0.18466202560071865,0.7983783961485714,0.7841021216588387,0.26424870466321243,0.29743589743589743,1.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7025641025641025,0.5,0.5,0.6685998342999171,0.7054650138434433,-0.1773182523262724,-0.18799859666795962,0.811066445129601,0.7904045634534829,0.26424870466321243,0.29743589743589743,1.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7025641025641025,0.5,0.5,0.6949047224523612,0.726780770198842,-0.177359733603489,-0.17376685222034868,0.7524962891872141,0.7442496230608882,0.26424870466321243,0.29743589743589743,2.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7051282051282052,0.5,0.5043103448275862,0.7249378624689313,0.738940976591996,-0.1709685502493542,-0.17957430006406624,0.771380365410278,0.7576212530550449,0.26424870466321243,0.29743589743589743,2.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7202072538860104,0.7230769230769231,0.5334161833747584,0.5717656682607601,0.6856531344932338,0.7533664736974579,-0.18318266564330693,-0.16806191202644294,0.7280968688691861,0.7205478445880921,0.26424870466321243,0.29743589743589743,3.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.6974358974358974,0.5125655896161282,0.5062924742008558,0.7533830433581884,0.739397180971558,-0.16812048090327972,-0.17888714865642022,0.7670373060390074,0.7546500792203408,0.26424870466321243,0.29743589743589743,3.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7230769230769231,0.5236122618061309,0.5717656682607601,0.6895194697597349,0.7638434432418828,-0.18351445027991584,-0.16498251525776247,0.72418341243153,0.7081399803718738,0.26424870466321243,0.29743589743589743,4.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7153846153846154,0.5376967688483844,0.5488925245406494,0.7292184479425573,0.7638434432418828,-0.1715433264688802,-0.17345047417072312,0.7703243624349814,0.7434480234615558,0.26424870466321243,0.29743589743589743,4.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7282051282051282,0.5110466721900028,0.5679587213692424,0.6922811378072357,0.7681852504404731,-0.18354555844945053,-0.16322289183048677,0.714753465068371,0.7025233766506519,0.26424870466321243,0.29743589743589743,5.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7202072538860104,0.7333333333333333,0.5711129522231428,0.5865215202617668,0.7293565313449323,0.7636861313868613,-0.17042564970099142,-0.17204981144155887,0.764363042195274,0.7383641331158588,0.26424870466321243,0.29743589743589743,5.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7307692307692307,0.5110466721900028,0.5697835388874906,0.7101629384148026,0.7763654669015858,-0.1797193927219654,-0.16109445381819598,0.6994732972038545,0.69636206583117,0.26424870466321243,0.29743589743589743,6.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7305699481865285,0.7333333333333333,0.5781552057442696,0.6014346841177951,0.7561447114056891,0.7734709287691921,-0.1655740557668239,-0.1698645081453913,0.7532494929283121,0.7309964856584639,0.26424870466321243,0.29743589743589743,6.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7307692307692307,0.5110466721900028,0.5697835388874906,0.7012565589616128,0.7814309086332747,-0.18167455233380672,-0.16047217271791694,0.6909382539612599,0.6900783093030526,0.26424870466321243,0.29743589743589743,7.0,
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7046632124352331,0.7384615384615385,0.5542667771333886,0.6150264283916436,0.7303231151615576,0.7782532091618425,-0.1695010945224644,-0.16873402113774366,0.7407815764280291,0.7253021029144202,0.26424870466321243,0.29743589743589743,7.0,logreg
41945,60,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.7307692307692307,0.5110466721900028,0.5697835388874906,0.7073322286661143,0.7842310596526554,-0.1799613260797063,-0.15987883538593478,0.6829557120822853,0.6848044196419376,0.26424870466321243,0.29743589743589743,8.0,
