dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",3.9463562965393066,0.008478641510009766,0.6632124352331606,0.7205128205128205,0.5537744097930632,0.6800925925925926,0.6572427863596618,0.7699382716049382,-0.18341041336627734,-0.1672651839760593,0.6836697433755509,0.7040287522675045,0.24352331606217617,0.3,,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7564766839378239,0.6923076923076923,0.5,0.5,0.5,0.5,-0.18833737008308551,-0.21301775147928992,0.8904916402194912,0.8904916402194913,0.24352331606217617,0.3076923076923077,0.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7564766839378239,0.6923076923076923,0.5,0.5,0.5,0.5,-0.18833737008308551,-0.21301775147928992,0.8904916402194912,0.8904916402194913,0.24352331606217617,0.3076923076923077,0.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7564766839378239,0.6923076923076923,0.5,0.5,0.6252550276887205,0.6578703703703704,-0.17986370335000273,-0.18846634186509298,0.7583930236908154,0.782176820467357,0.24352331606217617,0.3076923076923077,1.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7564766839378239,0.6923076923076923,0.5,0.5,0.7399446225590207,0.6627314814814814,-0.16810892836253982,-0.19114186430416472,0.7652599490198263,0.7991779346210176,0.24352331606217617,0.3076923076923077,1.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7564766839378239,0.6923076923076923,0.5,0.5,0.6560769454969397,0.6800925925925927,-0.174406716071373,-0.18344836696278194,0.7232578387750247,0.760475421237591,0.24352331606217617,0.3076923076923077,2.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7564766839378239,0.6923076923076923,0.5,0.5,0.7803118624307781,0.6850154320987654,-0.16218618950286193,-0.18759359215743396,0.7593986083385907,0.7912225207462174,0.24352331606217617,0.3076923076923077,2.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7230769230769231,0.5128242494899447,0.5847222222222223,0.6480617895657244,0.7193055555555555,-0.1852484402362408,-0.17749694749694753,0.716086825926824,0.7441739410523377,0.24352331606217617,0.3076923076923077,3.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7305699481865285,0.7,0.5117312736811425,0.5402777777777779,0.7325852521130864,0.717253086419753,-0.16799261385134703,-0.18456647758554554,0.7605544397161804,0.7815555856877138,0.24352331606217617,0.3076923076923077,3.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7150259067357513,0.717948717948718,0.5230982220926843,0.5763888888888888,0.680195278344506,0.7419753086419754,-0.17592439996088644,-0.17141305620823175,0.6744177092198501,0.7151209164610959,0.24352331606217617,0.3076923076923077,4.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.6923076923076923,0.5656514135820461,0.5601851851851851,0.7585252113086565,0.7415740740740742,-0.16214807853299285,-0.17988698762821528,0.7326398946871325,0.7609228524548365,0.24352331606217617,0.3076923076923077,4.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7307692307692307,0.5416788108423201,0.6226851851851851,0.6886476245992422,0.755787037037037,-0.17574013827792928,-0.16806597942820853,0.6830842540357878,0.7066748503488999,0.24352331606217617,0.3076923076923077,5.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7102564102564103,0.5800786942582338,0.5986111111111111,0.7534246575342466,0.7544135802469136,-0.1619250744830865,-0.17636615830861302,0.7203763082741541,0.7482418620303445,0.24352331606217617,0.3076923076923077,5.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7333333333333333,0.5416788108423201,0.6245370370370371,0.69272806761877,0.7598919753086419,-0.1758191677946709,-0.16688898353475157,0.6580465363985193,0.702041438164075,0.24352331606217617,0.3076923076923077,6.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7253886010362695,0.7051282051282052,0.5732293791897406,0.5972222222222222,0.7537161177499272,0.7534876543209876,-0.16163613226864265,-0.1763058461111917,0.7162709249581652,0.7467368758392556,0.24352331606217617,0.3076923076923077,6.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7333333333333333,0.5413144855727193,0.6199074074074075,0.7022733896823085,0.7610648148148147,-0.17048441069979947,-0.1662592004618271,0.6529317511050589,0.699013397666129,0.24352331606217617,0.3076923076923077,7.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7128205128205128,0.5945059749344215,0.600462962962963,0.7506557854852812,0.7641049382716049,-0.16440362384240503,-0.1732852702792251,0.7073799798001881,0.7374892286591898,0.24352331606217617,0.3076923076923077,7.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7333333333333333,0.5413144855727193,0.6199074074074075,0.6916350918099679,0.7632098765432098,-0.1747398026527147,-0.16593428222419762,0.6521441532782876,0.6972269315520937,0.24352331606217617,0.3076923076923077,8.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7128205128205128,0.5945059749344215,0.600462962962963,0.7508015155931216,0.7635185185185185,-0.16444786911146023,-0.17329414847480343,0.7081646869961843,0.7371821026676274,0.24352331606217617,0.3076923076923077,8.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.7333333333333333,0.5413144855727193,0.6199074074074075,0.6916350918099679,0.7632561728395061,-0.17473530804703083,-0.16593279339045075,0.652535068463872,0.6971367017512162,0.24352331606217617,0.3076923076923077,9.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7357512953367875,0.7153846153846154,0.5945059749344215,0.6023148148148147,0.7516758962401633,0.7639814814814815,-0.16396875289080273,-0.17299737129225537,0.7083771103993953,0.737690847600533,0.24352331606217617,0.3076923076923077,9.0,logreg
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6632124352331606,0.7205128205128205,0.5537744097930632,0.6800925925925926,0.6572427863596618,0.7699382716049382,-0.18341041336627734,-0.1672651839760593,0.6836697433755509,0.7040287522675045,0.24352331606217617,0.3,10.0,
41945,75,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.7098445595854922,0.717948717948718,0.5701690469250947,0.6087962962962963,0.7423491693383854,0.7694444444444446,-0.1667804524878437,-0.17228376280635005,0.7084126640286091,0.735019921105932,0.24352331606217617,0.3076923076923077,10.0,logreg
