dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",2.3587770462036133,0.009487390518188477,0.7305699481865285,0.7615384615384615,0.610727969348659,0.6435894087302882,0.7710089399744572,0.783946586568285,-0.17251561966348772,-0.15945482379864317,0.6581547177310517,0.6889348925484092,0.3005181347150259,0.2794871794871795,,
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.5,0.5,-0.21064928650022313,-0.20137409598948058,0.8547511153322639,0.8547511153322641,0.3005181347150259,0.2794871794871795,0.0,
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.5,0.5,-0.21064928650022313,-0.20137409598948058,0.8547511153322639,0.8547511153322641,0.3005181347150259,0.2794871794871795,0.0,logreg
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.6250319284802044,0.6769401547552972,-0.20112365661711332,-0.18074838190195078,0.7699095174023738,0.7755009679810329,0.3005181347150259,0.2794871794871795,1.0,
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.6250319284802044,0.6769401547552972,-0.20056679707353883,-0.18081107553183076,0.7792926205364074,0.7845195363598876,0.3005181347150259,0.2794871794871795,1.0,logreg
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.6964878671775223,0.7166737405726599,-0.18729573803194755,-0.1740948064219214,0.7334359350928145,0.7442080647148048,0.3005181347150259,0.2794871794871795,2.0,
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.7064495530012771,0.7182572072219138,-0.18620013240544778,-0.17406441497302896,0.7456317810601232,0.7560602455554591,0.3005181347150259,0.2794871794871795,2.0,logreg
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.7316730523627076,0.7464820921349049,-0.1806207592429395,-0.16929844891459303,0.711012442818324,0.7255934731936761,0.3005181347150259,0.2794871794871795,3.0,
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7205128205128205,0.5,0.5,0.736653895274585,0.7472656632603089,-0.17874953152150608,-0.16955540320254936,0.7279807572208321,0.7385229526555007,0.3005181347150259,0.2794871794871795,3.0,logreg
41945,77,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6994818652849741,0.7256410256410256,0.6376756066411239,0.6579875281595873,0.7322477650063857,0.7568807339449541,-0.1809620603519745,-0.16633806483426236,0.7052864670307476,0.7107172115971732,0.3005181347150259,0.2794871794871795,4.0,
