dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",78.01661467552185,0.019012451171875,0.7948717948717948,0.8571428571428571,0.7880434782608696,0.8854166666666667,0.8206521739130435,0.9367816091954023,-0.19390805810558898,-0.08465608465608465,0.4250519001024288,0.34192486692731666,1.1282051282051282,0.14285714285714285,,
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.41025641025641024,0.6233766233766234,0.5,0.5,0.5,0.5,-0.2873663133403393,-0.23477820880418293,0.9556222693531473,0.9556222693531466,0.41025641025641024,0.6233766233766234,0.0,
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.717948717948718,0.6883116883116883,0.7038043478260869,0.7227011494252873,0.7038043478260869,0.7227011494252873,-0.24081493352326688,-0.18975468975468976,0.8189562072849045,0.8050972061702218,0.41025641025641024,0.6233766233766234,1.0,
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7012987012987013,0.7201086956521738,0.6580459770114943,0.7459239130434782,0.7758620689655173,-0.2408688570760404,-0.18295412570886366,0.7783706201804854,0.7684068767899715,0.5384615384615384,0.4805194805194805,1.0,logreg
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6410256410256411,0.7922077922077922,0.686141304347826,0.7719109195402298,0.7676630434782609,0.8178879310344829,-0.2525505717745576,-0.1571153714010857,0.6924761458456594,0.6974198019258749,1.0,0.5324675324675325,2.0,
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.717948717948718,0.7532467532467533,0.7513586956521738,0.7270114942528736,0.7961956521739131,0.8520114942528735,-0.23346752073649535,-0.15189428318418796,0.6628177140332927,0.6683753327311859,0.7435897435897436,0.5324675324675325,2.0,logreg
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7435897435897436,0.8441558441558441,0.7730978260869565,0.8408764367816092,0.8260869565217391,0.8714080459770114,-0.20666526881688704,-0.1241205957557459,0.5854815980650306,0.5600286950290545,0.5128205128205128,0.4025974025974026,3.0,
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.717948717948718,0.7922077922077922,0.7418478260869565,0.7719109195402298,0.8288043478260869,0.8764367816091954,-0.20701076067065835,-0.13859212821771286,0.6060427434847636,0.6053566404675832,0.9230769230769231,0.36363636363636365,3.0,logreg
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8205128205128205,0.8311688311688312,0.8192934782608696,0.8645833333333333,0.84375,0.9008620689655173,-0.1826797111065392,-0.10732376128270556,0.46265098866334103,0.4504464897928282,1.1025641025641024,0.16883116883116883,4.0,
42900,21,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7435897435897436,0.8051948051948052,0.7635869565217391,0.7891522988505747,0.8179347826086956,0.882183908045977,-0.20938956460132693,-0.1353191893988565,0.5977332635691033,0.591618575974572,0.9487179487179488,0.33766233766233766,4.0,logreg
