dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",8.364940881729126,0.023764848709106445,0.5641025641025641,0.8181818181818182,0.5583333333333333,0.825,0.625,0.9273648648648649,-0.29033664747950455,-0.09678416821273964,0.5833333333333334,0.65,0.9166666666666666,0.975,0.6666666666666666,1.0,0.4,0.6486486486486487,0.6222222222222222,0.7878787878787878,0.2989018606637855,0.4129883633845029,0.7435897435897436,0.2987012987012987,,,,,,,,,,,,,,,,,,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.5194805194805194,0.5,0.5,0.5,0.5,-0.24588398614372628,-0.2496205093607691,1.0,1.0,1.0,1.0,0.6153846153846154,0.5194805194805194,0.0,0.0,0.7619047619047619,0.6837606837606838,0.9989047442823611,0.9989047442823603,0.38461538461538464,0.4805194805194805,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.5194805194805194,0.5,0.5,0.5,0.5,-0.24588398614372628,-0.2496205093607691,1.0,1.0,1.0,1.0,0.6153846153846154,0.5194805194805194,0.0,0.0,0.7619047619047619,0.6837606837606838,0.9989047442823611,0.9989047442823603,0.38461538461538464,0.4805194805194805,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.5194805194805194,0.5,0.5,0.5,0.5,-0.24588398614372628,-0.2496205093607691,1.0,1.0,1.0,1.0,0.6153846153846154,0.5194805194805194,0.0,0.0,0.7619047619047619,0.6837606837606838,0.9989047442823611,0.9989047442823603,0.38461538461538464,0.4805194805194805,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.7402597402597403,0.6125,0.7449324324324325,0.6125,0.7449324324324325,-0.24800157088522878,-0.18674587823523997,0.625,0.625,1.0,1.0,0.7142857142857143,0.8333333333333334,0.0,0.0,0.6666666666666666,0.7142857142857143,0.7669906371368834,0.8047141525217116,0.38461538461538464,0.4805194805194805,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,1.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7402597402597403,0.6625,0.7398648648648649,0.7444444444444445,0.7831081081081082,-0.20106230767053182,-0.19517756584742063,0.7916666666666666,0.75,1.0,1.0,0.7307692307692307,0.75,0.0,0.02702702702702703,0.76,0.75,0.7355525278453019,0.8316265810535131,0.38461538461538464,0.4675324675324675,,,,,,,,,,,,,,,,,1.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7402597402597403,0.6625,0.7398648648648649,0.7444444444444445,0.7831081081081082,-0.2010839730600705,-0.195168595312042,0.7916666666666666,0.75,1.0,1.0,0.7307692307692307,0.75,0.0,0.02702702702702703,0.76,0.75,0.7353392073796732,0.8314753750545412,0.38461538461538464,0.4675324675324675,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.46153846153846156,0.7532467532467533,0.4875,0.7614864864864865,0.5249999999999999,0.8101351351351351,-0.33012681534954896,-0.15772314825536626,0.375,0.55,1.0,1.0,0.6,0.9565217391304348,0.0,0.0,0.46153846153846156,0.6984126984126984,0.6272537147185367,0.6805192170739409,0.38461538461538464,0.4805194805194805,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,2.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7792207792207793,0.675,0.7814189189189189,0.7333333333333334,0.8574324324324324,-0.21365008837630334,-0.1598968033718657,0.75,0.725,0.9583333333333334,1.0,0.75,0.8285714285714286,0.2,0.10810810810810811,0.75,0.7733333333333333,0.5804479689027051,0.6899762470919736,0.5641025641025641,0.42857142857142855,,,,,,,,,,,,,,,,,2.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7792207792207793,0.675,0.7814189189189189,0.7333333333333334,0.8574324324324324,-0.21375634460028975,-0.15988823655318515,0.75,0.725,0.9583333333333334,1.0,0.75,0.8285714285714286,0.2,0.10810810810810811,0.75,0.7733333333333333,0.5795732549812894,0.68924204180615,0.5641025641025641,0.42857142857142855,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.46153846153846156,0.7532467532467533,0.4875,0.7614864864864865,0.5458333333333334,0.854054054054054,-0.3559364557654233,-0.14100409597304006,0.375,0.55,0.75,0.975,0.6,0.9565217391304348,0.4,0.4594594594594595,0.46153846153846156,0.6984126984126984,0.5109514176436318,0.6110583239935373,1.7692307692307694,0.38961038961038963,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,3.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7662337662337663,0.675,0.7679054054054054,0.75,0.8614864864864865,-0.20789735489503378,-0.15959586000176149,0.75,0.725,0.9583333333333334,1.0,0.75,0.8055555555555556,0.13333333333333333,0.05405405405405406,0.75,0.7631578947368421,0.5819961508868265,0.6880737834116899,0.5897435897435896,0.45454545454545453,,,,,,,,,,,,,,,,,3.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7662337662337663,0.675,0.7679054054054054,0.75,0.8614864864864865,-0.20800530436594974,-0.1595871011082035,0.75,0.725,0.9583333333333334,1.0,0.75,0.8055555555555556,0.13333333333333333,0.05405405405405406,0.75,0.7631578947368421,0.5811308479336834,0.6873618169998044,0.5897435897435896,0.45454545454545453,,,,,,,,,,,,,,,,,3.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.46153846153846156,0.7532467532467533,0.4875,0.7625,0.5541666666666667,0.860472972972973,-0.36820724454282033,-0.1350942290791915,0.375,0.525,0.75,0.975,0.6,1.0,0.4,0.4594594594594595,0.46153846153846156,0.6885245901639344,0.4022649710993935,0.5600167033781771,1.7692307692307694,0.38961038961038963,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,4.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7662337662337663,0.675,0.7679054054054054,0.7444444444444445,0.8601351351351352,-0.20944648435826194,-0.15962566361180644,0.75,0.725,0.9583333333333334,1.0,0.75,0.8055555555555556,0.13333333333333333,0.08108108108108109,0.75,0.7631578947368421,0.5822692710369376,0.6879132837786549,0.5897435897435896,0.44155844155844154,,,,,,,,,,,,,,,,,4.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7662337662337663,0.675,0.7679054054054054,0.7444444444444445,0.8601351351351352,-0.20952115824967502,-0.15961620553333417,0.75,0.725,0.9583333333333334,1.0,0.75,0.8055555555555556,0.13333333333333333,0.08108108108108109,0.75,0.7631578947368421,0.5814072076105287,0.6872108999864452,0.5897435897435896,0.44155844155844154,,,,,,,,,,,,,,,,,4.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.4358974358974359,0.7922077922077922,0.45416666666666666,0.8,0.5375,0.8807432432432433,-0.38369963369963367,-0.12337662337662338,0.375,0.6,0.7916666666666666,0.975,0.5625,1.0,0.4,0.4594594594594595,0.45,0.75,0.3888161172353564,0.5153277575866373,1.5128205128205128,0.38961038961038963,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,5.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7662337662337663,0.675,0.768918918918919,0.7472222222222222,0.8601351351351352,-0.20544353858580733,-0.15980856758870826,0.75,0.7,0.9583333333333334,1.0,0.75,0.8235294117647058,0.13333333333333333,0.08108108108108109,0.75,0.7567567567567568,0.5705926494968894,0.6869692671871063,0.5897435897435896,0.44155844155844154,,,,,,,,,,,,,,,,,5.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6923076923076923,0.7662337662337663,0.675,0.768918918918919,0.7472222222222222,0.8601351351351352,-0.2055250696540814,-0.15979868928270335,0.75,0.7,0.9583333333333334,1.0,0.75,0.8235294117647058,0.13333333333333333,0.08108108108108109,0.75,0.7567567567567568,0.5697427891577228,0.686273912959861,0.5897435897435896,0.44155844155844154,,,,,,,,,,,,,,,,,5.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6410256410256411,0.7922077922077922,0.5958333333333333,0.7847972972972973,0.5375,0.9030405405405405,-0.36785414647017145,-0.11281012893916118,0.7916666666666666,0.975,0.7916666666666666,0.975,0.6785714285714286,0.7222222222222222,0.4,0.5945945945945946,0.7307692307692307,0.8297872340425532,0.3788944061102772,0.4746559534100157,1.5128205128205128,0.3246753246753247,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,6.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.717948717948718,0.7792207792207793,0.6958333333333333,0.7814189189189189,0.7805555555555556,0.8574324324324324,-0.1854598142466459,-0.15755871439854938,0.7916666666666666,0.725,0.9583333333333334,1.0,0.76,0.8285714285714286,0.13333333333333333,0.10810810810810811,0.7755102040816326,0.7733333333333333,0.5635497001724694,0.674994534646623,0.5897435897435896,0.42857142857142855,,,,,,,,,,,,,,,,,6.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.717948717948718,0.7792207792207793,0.6958333333333333,0.7814189189189189,0.7805555555555556,0.8574324324324324,-0.18552191138412025,-0.1575676820842484,0.7916666666666666,0.725,0.9583333333333334,1.0,0.76,0.8285714285714286,0.13333333333333333,0.10810810810810811,0.7755102040816326,0.7733333333333333,0.5625399769317101,0.6741962503982787,0.5897435897435896,0.42857142857142855,,,,,,,,,,,,,,,,,6.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.8181818181818182,0.575,0.8118243243243244,0.5291666666666667,0.9145270270270272,-0.3805733406506296,-0.10548589341692789,0.75,0.975,0.75,0.975,0.6666666666666666,0.75,0.4,0.6486486486486487,0.7058823529411765,0.8478260869565217,0.3533051947967697,0.4480996320153833,1.7692307692307694,0.2987012987012987,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,7.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7948717948717948,0.7792207792207793,0.7708333333333333,0.7814189189189189,0.8194444444444444,0.8675675675675676,-0.1568463530799022,-0.15091562391719263,0.875,0.725,0.9583333333333334,1.0,0.8076923076923077,0.8285714285714286,0.13333333333333333,0.13513513513513514,0.84,0.7733333333333333,0.512083376533238,0.6532968561779379,0.5897435897435896,0.4155844155844156,,,,,,,,,,,,,,,,,7.0,logreg
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7948717948717948,0.7792207792207793,0.7708333333333333,0.7814189189189189,0.8194444444444444,0.8675675675675676,-0.15670375790769725,-0.15092798057836954,0.875,0.725,0.9583333333333334,1.0,0.8076923076923077,0.8285714285714286,0.13333333333333333,0.16216216216216217,0.84,0.7733333333333333,0.5104036111834754,0.6520920518528681,0.5897435897435896,0.4025974025974026,,,,,,,,,,,,,,,,,7.0,logreg_unregularized
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.717948717948718,0.8181818181818182,0.6583333333333333,0.8118243243243244,0.625,0.9229729729729731,-0.2875755768171994,-0.09991067133924278,0.9166666666666666,0.975,0.9166666666666666,0.975,0.7096774193548387,0.75,0.4,0.6486486486486487,0.8,0.8478260869565217,0.298648083966473,0.4256283284984379,0.7435897435897436,0.2987012987012987,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,0.4805194805194805,0.38461538461538464,8.0,
42900,22,"{'score_set': '(-2, -1, 1, 2)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-2, -1, 1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.7948717948717948,0.7792207792207793,0.7708333333333333,0.7814189189189189,0.8166666666666667,0.8689189189189189,-0.15776927459315052,-0.15075219559232067,0.875,0.725,0.9583333333333334,1.0,0.8076923076923077,0.8285714285714286,0.13333333333333333,0.13513513513513514,0.84,0.7733333333333333,0.5101782652526561,0.6531683174955961,0.5897435897435896,0.4155844155844156,,,,,,,,,,,,,,,,,8.0,logreg
