dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",2.1556684970855713,0.02263498306274414,0.6153846153846154,0.7922077922077922,0.6157894736842104,0.7954545454545454,0.6802631578947369,0.887741046831956,-0.22116123414824712,-0.12469781300950131,0.7091210035447113,0.5138098406514763,0.6923076923076923,0.33766233766233766,,
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.5714285714285714,0.5,0.5,0.5,0.5,-0.25327053898482477,-0.24489795918367344,0.9852281360342514,0.9852281360342514,0.5128205128205128,0.5714285714285714,0.0,
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6883116883116883,0.5539473684210526,0.6363636363636364,0.5539473684210526,0.6363636363636364,-0.25809599858042753,-0.20168067226890757,0.8405989324542228,0.8271867788009643,0.5128205128205128,0.5714285714285714,1.0,
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6883116883116883,0.5539473684210526,0.6363636363636364,0.5539473684210526,0.6363636363636364,-0.24748036130105328,-0.20724425777062655,0.9348884315971836,0.9316495213383665,0.5128205128205128,0.5714285714285714,1.0,logreg
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5897435897435898,0.6883116883116883,0.5789473684210527,0.6363636363636364,0.594736842105263,0.7369146005509641,-0.23271280043084955,-0.18119741893326802,0.862656891630254,0.7484614449299223,0.717948717948718,0.5194805194805195,2.0,
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6883116883116883,0.5539473684210526,0.6363636363636364,0.575,0.7369146005509641,-0.2338865179822672,-0.1871000232920379,0.9400755605115959,0.886511425060553,0.5128205128205128,0.5714285714285714,2.0,logreg
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5897435897435898,0.7012987012987013,0.5789473684210527,0.6515151515151515,0.594736842105263,0.7623966942148761,-0.23578972350777258,-0.16907620681205587,0.835475404320914,0.6796252108348402,0.717948717948718,0.38961038961038963,3.0,
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5897435897435898,0.7012987012987013,0.5789473684210527,0.6515151515151515,0.575,0.7520661157024793,-0.23408107459393404,-0.18060240817252443,0.937188420637388,0.8843682615572718,0.5128205128205128,0.5714285714285714,3.0,logreg
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.7532467532467533,0.6052631578947368,0.7159090909090909,0.618421052631579,0.8061294765840221,-0.23071538474435718,-0.1550612508059317,0.8044569134923513,0.6366975542088036,0.717948717948718,0.38961038961038963,4.0,
42900,28,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.5897435897435898,0.7532467532467533,0.5802631578947368,0.7159090909090909,0.6,0.7954545454545454,-0.23061745160179262,-0.1691827929043618,0.9261684753099774,0.87198146932555,0.5128205128205128,0.5714285714285714,4.0,logreg
