dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",0.5685324668884277,0.009722471237182617,0.4358974358974359,0.6233766233766234,0.5,0.5166666666666667,0.5066844919786097,0.5475177304964539,-0.28600641867671317,-0.22700587084148724,0.9196163858874333,0.9189708145389685,0.6666666666666666,0.5714285714285714,,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.4358974358974359,0.6103896103896104,0.5,0.5,0.5,0.5,-0.276338380234484,-0.23781413391803005,0.9645476589143228,0.9645476589143236,0.4358974358974359,0.6103896103896104,0.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.6883116883116883,0.5387700534759359,0.624113475177305,0.5387700534759358,0.624113475177305,-0.2876653035383196,-0.21438878581735726,0.8976518080375646,0.8946022959803912,0.4358974358974359,0.6103896103896104,1.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.6883116883116883,0.5387700534759359,0.624113475177305,0.5387700534759358,0.624113475177305,-0.2816636233839278,-0.21603409094232665,0.924605829254317,0.9270290080947381,0.4358974358974359,0.6103896103896104,1.0,logreg
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7142857142857143,0.5387700534759359,0.6453900709219859,0.5254010695187166,0.6631205673758864,-0.29500342397167795,-0.20047412904555764,0.8615117615493975,0.8494816846333222,0.4358974358974359,0.6103896103896104,2.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7142857142857143,0.5387700534759359,0.6453900709219859,0.5254010695187166,0.650354609929078,-0.28583640214740774,-0.20881407000260116,0.9135901289249164,0.9167858111988492,0.4358974358974359,0.6103896103896104,2.0,logreg
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7142857142857143,0.5387700534759359,0.6453900709219859,0.5467914438502673,0.675886524822695,-0.28783682765587276,-0.19478153904383413,0.8345717430775247,0.8176752729791127,0.6666666666666666,0.5584415584415584,3.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7142857142857143,0.5387700534759359,0.6453900709219859,0.5147058823529411,0.6489361702127661,-0.28611802980456064,-0.20848512782949666,0.9088234519189836,0.9138530772419933,0.4358974358974359,0.6103896103896104,3.0,logreg
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.7012987012987013,0.5681818181818181,0.6226950354609929,0.5280748663101604,0.6609929078014184,-0.27567671197014826,-0.19856591285162717,0.8374359872365463,0.8252033135672298,0.6666666666666666,0.5584415584415584,4.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7012987012987013,0.5387700534759359,0.6347517730496454,0.5521390374331551,0.6836879432624114,-0.28107319437653827,-0.20645318506965915,0.9161133722075988,0.9092718511362553,0.4358974358974359,0.6103896103896104,4.0,logreg
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.7012987012987013,0.5681818181818181,0.6226950354609929,0.5280748663101604,0.6609929078014184,-0.27567671197014826,-0.19856591285162717,0.8374359872365463,0.8252033135672298,0.6666666666666666,0.5584415584415584,5.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.7662337662337663,0.5935828877005347,0.7120567375886525,0.5962566844919787,0.7152482269503546,-0.26686873219148716,-0.1845624279711782,0.8923293838896083,0.8731703065599048,0.4358974358974359,0.6103896103896104,5.0,logreg
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.6753246753246753,0.5681818181818181,0.5893617021276596,0.570855614973262,0.6152482269503546,-0.26981275533291577,-0.21086127802545712,0.853855992499332,0.869605530143674,0.6666666666666666,0.5714285714285714,6.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7272727272727273,0.5053475935828877,0.6982269503546099,0.5414438502673797,0.8379432624113474,-0.26799935192586544,-0.15421346484170922,0.8824510390679828,0.7985533067832942,0.4358974358974359,0.5974025974025974,6.0,logreg
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.46153846153846156,0.6493506493506493,0.5227272727272727,0.5560283687943263,0.5280748663101604,0.5840425531914893,-0.2830530108412906,-0.22016751364577447,0.8822390688138466,0.8986036739178132,0.6666666666666666,0.5714285714285714,7.0,
42900,31,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.7662337662337663,0.5053475935828877,0.7301418439716312,0.5628342245989304,0.8680851063829786,-0.2674630671328968,-0.1429128380992162,0.8541039628329455,0.7558146434774663,0.4358974358974359,0.4675324675324675,7.0,logreg
