dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",0.37534260749816895,0.008101940155029297,0.46153846153846156,0.6103896103896104,0.5,0.5213884992987378,0.5,0.5217391304347827,-0.27000337135472274,-0.23552123552123544,0.9660096062568556,0.9543468943247709,0.5384615384615384,0.38961038961038963,,
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.46153846153846156,0.5974025974025974,0.5,0.5,0.5,0.5,-0.26697977347327984,-0.2405127340192275,0.9724497147128792,0.9724497147128792,0.5384615384615384,0.4025974025974026,0.0,
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.46153846153846156,0.5974025974025974,0.5,0.5,0.5,0.5,-0.26697977347327984,-0.2405127340192275,0.9724497147128792,0.9724497147128792,0.5384615384615384,0.4025974025974026,0.0,logreg
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.6753246753246753,0.5238095238095237,0.6598877980364657,0.5238095238095237,0.6598877980364655,-0.2861830971201727,-0.21563967946946672,0.8939122031717145,0.8975940379758867,0.5384615384615384,0.4025974025974026,1.0,
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.6753246753246753,0.5238095238095237,0.6598877980364657,0.5238095238095237,0.6598877980364655,-0.27895419938826915,-0.21650402280221523,0.9197859112171779,0.9230681837569167,0.5384615384615384,0.4025974025974026,1.0,logreg
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6410256410256411,0.7012987012987013,0.6428571428571428,0.7026647966339411,0.6256613756613757,0.7096774193548386,-0.254415899466511,-0.2012096135571745,0.8599385405489679,0.8514166309472053,0.5384615384615384,0.4025974025974026,2.0,
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5128205128205128,0.6753246753246753,0.5238095238095237,0.6598877980364657,0.5925925925925926,0.7047685834502104,-0.2593902203882649,-0.20494731608742692,0.9135868827209134,0.9053647306993299,0.5384615384615384,0.4025974025974026,2.0,logreg
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6410256410256411,0.7012987012987013,0.6428571428571428,0.7026647966339411,0.6428571428571428,0.717391304347826,-0.25077586972562893,-0.19590904291569478,0.8684529053443827,0.8257366422201947,0.5384615384615384,0.36363636363636365,3.0,
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5897435897435898,0.7402597402597403,0.611111111111111,0.7037166900420757,0.6944444444444444,0.7720897615708275,-0.24015098028177653,-0.18948668646642644,0.8682693029262953,0.8741374461388124,0.5384615384615384,0.4025974025974026,3.0,logreg
42900,94,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.6623376623376623,0.6071428571428572,0.6753155680224404,0.6071428571428571,0.6879382889200562,-0.2533027641508904,-0.20668220668220671,0.9066801653248081,0.8616199073457457,0.5384615384615384,0.37662337662337664,4.0,
