dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",0.39282727241516113,0.008133411407470703,0.5641025641025641,0.5454545454545454,0.4708333333333333,0.5300675675675676,0.49027777777777776,0.55,-0.25011910180549235,-0.24468031968031967,0.98914746745959,0.984164547319235,0.38461538461538464,0.4805194805194805,,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.5194805194805194,0.5,0.5,0.5,0.5,-0.24588398614372628,-0.2496205093607691,0.9989047442823611,0.9989047442823603,0.38461538461538464,0.4805194805194805,0.0,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.5194805194805194,0.5,0.5,0.5,0.5,-0.24588398614372628,-0.2496205093607691,0.9989047442823611,0.9989047442823603,0.38461538461538464,0.4805194805194805,0.0,logreg
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.6233766233766234,0.5375,0.6091216216216216,0.5375,0.6091216216216215,-0.26137361413369437,-0.22335723977515023,0.9017798794749657,0.9140429525106881,0.38461538461538464,0.4805194805194805,1.0,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.6233766233766234,0.5375,0.6091216216216216,0.5375,0.6091216216216215,-0.2494453349993958,-0.22628063747352445,0.9592869497060875,0.9639421444859894,0.38461538461538464,0.4805194805194805,1.0,logreg
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6753246753246753,0.5833333333333333,0.6773648648648649,0.5916666666666666,0.7138513513513514,-0.26097723704866554,-0.20672541743970316,0.8540054810201121,0.864124115596842,0.38461538461538464,0.4805194805194805,2.0,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6753246753246753,0.5833333333333333,0.6773648648648649,0.5916666666666667,0.7118243243243243,-0.24500537864021646,-0.21463476550597224,0.9425464007924313,0.9442426515740684,0.38461538461538464,0.4805194805194805,2.0,logreg
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5384615384615384,0.6363636363636364,0.5,0.6317567567567568,0.5166666666666667,0.7054054054054053,-0.2821304210193099,-0.20418470418470416,0.8565371629155302,0.8363956020585795,0.8717948717948718,0.4155844155844156,3.0,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6753246753246753,0.5458333333333334,0.6722972972972974,0.5847222222222221,0.747972972972973,-0.25563558853231416,-0.20695798533717966,0.9342818867938072,0.9299155180042343,0.38461538461538464,0.4805194805194805,3.0,logreg
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.41025641025641024,0.6493506493506493,0.42083333333333334,0.6523648648648648,0.4513888888888889,0.7131756756756757,-0.2764432252601896,-0.20363327149041435,0.883650602515016,0.8309244947899863,0.6153846153846154,0.4155844155844156,4.0,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6753246753246753,0.5458333333333334,0.6722972972972974,0.523611111111111,0.758108108108108,-0.26564814395644476,-0.20381354746171837,0.929837589906861,0.9234015851931764,0.38461538461538464,0.4805194805194805,4.0,logreg
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.38461538461538464,0.6493506493506493,0.4125,0.6523648648648648,0.42500000000000004,0.7155405405405405,-0.31597374432799585,-0.20119096589684826,0.8200117960552084,0.822001752888397,1.1282051282051282,0.4155844155844156,5.0,
42900,97,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6753246753246753,0.5458333333333334,0.6722972972972974,0.5083333333333333,0.752027027027027,-0.2673466282650595,-0.20399952854700557,0.9289316476092231,0.9228581020027616,0.38461538461538464,0.4805194805194805,5.0,logreg
