dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",1.7312593460083008,0.030787944793701172,0.5776798825256975,0.5852864583333334,0.5772216537277635,0.5855093997062732,0.5927506663805411,0.5976798349035006,-0.24142630102969334,-0.24000509000777423,0.970862032315546,0.970650502966283,0.5010279001468428,0.49949363425925924,,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.4989720998531571,0.5005063657407407,0.5,0.5,0.5,0.5,-0.250001297393102,-0.24999974359373664,0.9999992601677845,0.9999992601677845,0.5010279001468428,0.49949363425925924,0.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5747430249632893,0.5732060185185185,0.5739116589511657,0.5736145125675304,0.5739116589511657,0.5736145125675305,-0.2341854459703982,-0.23449216714941143,0.9505510369798101,0.9499562688669512,0.5010279001468428,0.49949363425925924,1.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5747430249632893,0.5732060185185185,0.5739116589511657,0.5736145125675304,0.5739116589511657,0.5736145125675305,-0.23418878185898487,-0.23449271866224564,0.9512261634485831,0.9506398024990917,0.5010279001468428,0.49949363425925924,1.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6627019089574155,0.6646412037037037,0.6622250209936609,0.6648723582147784,0.6665267376782564,0.6689437275585421,-0.21539490258274674,-0.21477491923932,0.8921302975282563,0.8910753127609019,0.5010279001468428,0.49949363425925924,2.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6627019089574155,0.6646412037037037,0.6622250209936609,0.6648723582147784,0.6665440742675335,0.6689329898811519,-0.2154044782686992,-0.21481599189236,0.893425366536992,0.8924673295668532,0.5010279001468428,0.49949363425925924,2.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6672540381791483,0.669921875,0.6667333967225739,0.6701736207081864,0.7170316723098271,0.7143897540370685,-0.205339903423831,-0.2056562174951651,0.8622033039753295,0.8620478075025715,0.5010279001468428,0.49949363425925924,3.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6627019089574155,0.6646412037037037,0.6622250209936609,0.6648723582147784,0.7171306029959006,0.7140841488543496,-0.20644229405521333,-0.20701905735188697,0.8693173189002877,0.869030417031506,0.5010279001468428,0.49949363425925924,3.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6795888399412628,0.6825086805555556,0.679314585436437,0.6826391222566202,0.7294825347232045,0.7284651432072312,-0.20571115784185318,-0.20533603312987994,0.8623263333371037,0.8616871454605255,0.5010279001468428,0.49949363425925924,4.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6750367107195301,0.6779513888888888,0.6747995683275522,0.678065635675211,0.7313534632122751,0.729645869097247,-0.20432981424518368,-0.20470586769227872,0.8620299566208248,0.8616363353217245,0.5010279001468428,0.49949363425925924,4.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6722466960352423,0.6782407407407407,0.6719488637892643,0.6783831192827232,0.7232755182518922,0.7241285971873355,-0.2074081694011356,-0.20648288037294293,0.865184822835228,0.8649504662447748,0.5010279001468428,0.49949363425925924,5.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6750367107195301,0.6779513888888888,0.6747995683275522,0.678065635675211,0.7333387614395614,0.7310292607988225,-0.20405492121323762,-0.2045831891010588,0.8617247980378672,0.8613427913501731,0.5010279001468428,0.49949363425925924,5.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6508076358296623,0.6589988425925926,0.6503841305174343,0.659207867096439,0.7071057418093672,0.7085566311489556,-0.21094346785792975,-0.21029301170968567,0.8755410075024836,0.8759789802221444,0.5010279001468428,0.49949363425925924,6.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6750367107195301,0.6779513888888888,0.6747995683275522,0.678065635675211,0.741184473730151,0.7406042026180886,-0.20333611242964234,-0.20386176159695063,0.8604051956756092,0.8598433096541589,0.5010279001468428,0.49949363425925924,6.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6251101321585903,0.6316550925925926,0.6245159555272497,0.631945406550339,0.6693779597266719,0.6720817771463083,-0.22139956533864105,-0.21984077901375554,0.9079163939516622,0.9074913684287835,0.5010279001468428,0.49949363425925924,7.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.694273127753304,0.7023292824074074,0.694154102095778,0.7023752035423032,0.775271960197261,0.7742975062947803,-0.1905059061285354,-0.19152735258481463,0.8133911756300495,0.8122754439865287,0.47929515418502205,0.47800925925925924,7.0,logreg
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5776798825256975,0.5852864583333334,0.5772216537277635,0.5855093997062732,0.5927506663805411,0.5976798349035006,-0.24142630102969334,-0.24000509000777423,0.970862032315546,0.970650502966283,0.5010279001468428,0.49949363425925924,8.0,
43979,16,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.7594713656387665,0.7502170138888888,0.7596164594441113,0.7501419602582442,0.84024686613117,0.8386378471312662,-0.16167410760586415,-0.16302576467191635,0.710704833589803,0.7114411927192534,0.44537444933920706,0.4495804398148148,8.0,logreg
