dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",406.11495661735535,0.07592654228210449,0.765345080763583,0.7693865740740741,0.7654980482968052,0.7693195253360521,0.8523080434184097,0.8482770580312857,-0.15651125768117927,-0.15773347953488112,0.6870418294462873,0.6946865125928449,0.4271659324522761,0.4293258101851852,,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.4989720998531571,0.5005063657407407,0.5,0.5,0.5,0.5,-0.2500012464858337,-0.24999974387198518,0.9999993081082879,0.9999993081082879,0.5010279001468428,0.49949363425925924,0.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7427312775330397,0.7386429398148148,0.7429982604759575,0.7385113183596805,0.7429982604759575,0.7385113183596806,-0.18673542780145444,-0.1889736118713066,0.8127644404825468,0.8129473124251134,0.5010279001468428,0.49949363425925924,1.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7424375917767988,0.7416811342592593,0.7425180110774767,0.7416428478957763,0.8308602243095897,0.8277833530208194,-0.1670154971288614,-0.16856562261571456,0.727737790947831,0.7287063462905314,0.40205580029368576,0.4189091435185185,1.0,logreg
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7384728340675477,0.734375,0.7388131560734643,0.7342074039948555,0.7765669861659192,0.7698843418185755,-0.18541865569861501,-0.18782274104095167,0.8065567908924992,0.8068141544103768,0.5010279001468428,0.49949363425925924,2.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7512481644640235,0.7444299768518519,0.7513213758593256,0.7443988726903921,0.838179197541896,0.8316492517795921,-0.1637873553725037,-0.1671283652652803,0.7220143722133181,0.7219795881185321,0.39720998531571217,0.41080729166666663,2.0,logreg
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7381791483113069,0.7343026620370371,0.7385188653141942,0.7341351392167084,0.7762928351757844,0.7698427097711503,-0.17825916927061036,-0.1811078380249437,0.7782936030352814,0.780362577794896,0.5008810572687225,0.4992042824074074,3.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7509544787077826,0.7450810185185185,0.7510264813382398,0.7450496952477614,0.8388226782598135,0.832100726111886,-0.16342870699209566,-0.16688426665849837,0.7213052416924992,0.7215042389973774,0.3997063142437592,0.41276041666666663,3.0,logreg
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7640234948604993,0.7683738425925926,0.7641743436419051,0.7683062067438265,0.810547391162445,0.8100204612408045,-0.16903506191394055,-0.1687425894546432,0.7325984374107698,0.7379234519293228,0.4406754772393539,0.4403935185185185,4.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.8149779735682819,0.8147424768518519,0.8149892668399521,0.8147401623356814,0.9001466796205202,0.8993566498613992,-0.12796301496604237,-0.12832829274400556,0.5805623272278894,0.5819735528994452,0.3690161527165932,0.3755063657407407,4.0,logreg
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7640234948604993,0.7683738425925926,0.7641743436419051,0.7683062067438265,0.845327263054538,0.8414552839053414,-0.1607309997968166,-0.16115368143658823,0.7050455855513652,0.7103731140753377,0.4406754772393539,0.4403935185185185,5.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.8267254038179148,0.8232060185185185,0.8267355392145024,0.8232052511219355,0.9069256310345994,0.9059281502864585,-0.12325361933711171,-0.12366364208920373,0.5774221241272032,0.5783428155998588,0.3656387665198238,0.37058738425925924,5.0,logreg
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.7654919236417034,0.7691695601851852,0.7656814193853774,0.7690825115155311,0.8462776704040097,0.8433002806133956,-0.16005427929141902,-0.16037343285488037,0.6977820741911094,0.7038373630571682,0.4293685756240822,0.43952546296296297,6.0,
43979,20,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'beta')}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta')",,,0.825697503671072,0.8231336805555556,0.8257067290806881,0.8231334258978336,0.9064300288356644,0.9057140874664408,-0.12366781743268648,-0.12383557298115552,0.5766899356018632,0.5779585660362621,0.3631424375917768,0.36906828703703703,6.0,logreg
