dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",2.50455904006958,0.06926155090332031,0.5834067547723936,0.5777633101851852,0.5845655666099456,0.5771679878199831,0.6059730105893052,0.6039562532968131,-0.23809285841354239,-0.23871838192409137,0.9663923194644587,0.9664096514155713,0.49691629955947136,0.5015190972222222,,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.49691629955947136,0.5015190972222222,0.5,0.5,0.5,0.5,-0.25001167653791734,-0.24999769234362948,0.9999933415009523,0.9999933415009523,0.49691629955947136,0.5015190972222222,0.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5970631424375917,0.5904947916666666,0.5991236187187672,0.5894345348264981,0.5991236187187672,0.5894345348264981,-0.23230274504124104,-0.23437901926323945,0.9482358676159918,0.9523339331833874,0.49691629955947136,0.5015190972222222,1.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5970631424375917,0.5904947916666666,0.5991236187187672,0.5894345348264981,0.5991236187187672,0.5894345348264981,-0.23230479650440988,-0.23437912494577695,0.9485227460172274,0.9525976220544068,0.49691629955947136,0.5015190972222222,1.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6754772393538914,0.6705005787037037,0.6767563852558449,0.6698590797006563,0.6766873815724282,0.6701251481335451,-0.21230196832356965,-0.2148276297981395,0.8921593028068397,0.8933945604915271,0.49691629955947136,0.5015190972222222,2.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6754772393538914,0.6705005787037037,0.6767563852558449,0.6698590797006563,0.6766873815724282,0.6701251481335451,-0.21227769882965158,-0.21487893385475265,0.8933330303667729,0.8945554707351369,0.49691629955947136,0.5015190972222222,2.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6776798825256976,0.6728877314814815,0.679016169633135,0.6722135074684926,0.7331590041526417,0.7251101787884003,-0.19996628951716983,-0.20305705798457543,0.8526787684451171,0.852991617041563,0.49691629955947136,0.5015190972222222,3.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6754772393538914,0.6705005787037037,0.6767563852558449,0.6698590797006563,0.7325937346035529,0.7244794868176976,-0.2001457175579738,-0.2035828658039827,0.854958074846214,0.8562508209613466,0.49691629955947136,0.5015190972222222,3.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6826725403817915,0.6828703703703703,0.6831776092707829,0.6826072249086521,0.7451236390748538,0.7398519586573842,-0.1984904624069783,-0.2013888766516146,0.8468002399897653,0.8467210108049211,0.49691629955947136,0.5015190972222222,4.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6813509544787077,0.6809895833333334,0.6818134064496363,0.6807497170661587,0.7463094673743685,0.7415258255923568,-0.1984169643729851,-0.2012375448515034,0.8476025120386457,0.8481035211294615,0.49691629955947136,0.5015190972222222,4.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6807635829662262,0.6775896990740741,0.6813509955161406,0.6772915600346898,0.7413526740307397,0.7346901284958883,-0.19948540974865347,-0.2027042312383691,0.850768226321869,0.850592306125031,0.49691629955947136,0.5015190972222222,5.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6813509544787077,0.6809895833333334,0.6818134064496363,0.6807497170661587,0.747739913731595,0.7430849679802135,-0.19829377825379246,-0.20096341284478253,0.8468330345955251,0.8475781248570863,0.49691629955947136,0.5015190972222222,5.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6668135095447871,0.6620370370370371,0.6679193422844911,0.6614972175058733,0.7256699912641337,0.7194151442639725,-0.20260362620321318,-0.20548021641005906,0.8568505895280544,0.8581194996263244,0.49691629955947136,0.5015190972222222,6.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6813509544787077,0.6809895833333334,0.6818134064496363,0.6807497170661587,0.7555934385777513,0.7493847815052057,-0.1979498533023877,-0.20072637747335142,0.8464586297136345,0.8470159481597181,0.49691629955947136,0.5015190972222222,6.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.6428781204111601,0.6354890046296297,0.6445454658369664,0.6346476232709608,0.6828842142343559,0.6775373250903296,-0.21426395890550196,-0.21679635146469295,0.8962530657741286,0.897045432577949,0.49691629955947136,0.5015190972222222,7.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.7117474302496329,0.7062355324074074,0.7119891484807459,0.7061218324455211,0.7933552299271734,0.7852760033777286,-0.18385277191137714,-0.18727567717443389,0.7944465121999058,0.7965235401366323,0.4632892804698972,0.47063078703703703,7.0,logreg
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.5834067547723936,0.5777633101851852,0.5845655666099456,0.5771679878199831,0.6059730105893052,0.6039562532968131,-0.23809285841354239,-0.23871838192409137,0.9663923194644587,0.9664096514155713,0.49691629955947136,0.5015190972222222,8.0,
43979,22,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.7684287812041116,0.7644675925925926,0.7679318147002687,0.7647054169389569,0.8530838263646514,0.8459284287532409,-0.15584485503158843,-0.15882997916195774,0.6951985080765247,0.6963757200364609,0.4139500734214391,0.4293258101851852,8.0,logreg
