dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",11804.620710372925,0.0316922664642334,0.7903083700440529,0.7879050925925926,0.7904090979661543,0.7878171244984278,0.8543223533267782,0.8533482074783949,-0.15038146057831345,-0.15088307661047987,0.6708365145035249,0.6690248122153147,0.3970631424375918,0.4032118055555556,,
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.4977973568281938,0.5010850694444444,0.5,0.5,0.5,0.5,-0.2500059574173048,-0.24999882262430084,0.9999966028091687,0.9999966028091686,0.4977973568281938,0.5010850694444444,0.0,
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7406754772393539,0.7387152777777778,0.7400494229674481,0.7390038400210786,0.7400494229674482,0.7390038400210786,-0.18725022352753895,-0.18856557813283742,0.8137904778497472,0.8113317960700188,0.4977973568281938,0.5010850694444444,1.0,
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7475770925110132,0.7395833333333334,0.7473826527971847,0.7396624827874712,0.8304012489434008,0.8280191053497504,-0.1669833940071973,-0.16857558444587856,0.7344358375380087,0.7283871094052677,0.41527165932452276,0.4142071759259259,1.0,logreg
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7406754772393539,0.7387152777777778,0.7400494229674481,0.7390038400210786,0.7812565767910435,0.7805658688919738,-0.17795337111262105,-0.1785779129991205,0.7748158989684745,0.7712909657739888,0.4977973568281938,0.5010850694444444,2.0,
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7494860499265785,0.7457320601851852,0.7493194638513688,0.7457978949428054,0.8358673601407649,0.8328527943359443,-0.16491510443992752,-0.16659770668330975,0.7245668612551989,0.7199628925004973,0.40778267254038175,0.40552662037037035,2.0,logreg
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7499265785609398,0.7517361111111112,0.7503855508978937,0.7514683827924507,0.8284470147837637,0.8306407513856626,-0.16457936831203687,-0.1632958271230837,0.717545082647147,0.7181887112052332,0.46123348017621146,0.4888599537037037,3.0,
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7654919236417034,0.7611400462962963,0.7653314702685918,0.7611982613940834,0.8507116734806535,0.8479854713875531,-0.15722606282931736,-0.15894911850986737,0.7162264947194746,0.71301449675936,0.40704845814977975,0.40241608796296297,3.0,logreg
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.7823788546255507,0.7845775462962963,0.7825751694871397,0.7844459209328527,0.847830219600131,0.8485351462115985,-0.15399643660189485,-0.1536046601544583,0.683543476816806,0.682006769991804,0.4215859030837005,0.4450954861111111,4.0,
43979,27,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 1, 'method': 'brute', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8204111600587372,0.8260271990740741,0.8203940899446256,0.8260274786339841,0.9066002518587521,0.9058195683860597,-0.12360038428777811,-0.12380356721363046,0.5870243896113322,0.5793094842497122,0.3684287812041116,0.3700086805555556,4.0,logreg
