dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",1.1871674060821533,0.04664206504821777,0.49662261380323053,0.5016637731481481,0.5,0.5,0.5,0.5,-0.25001400655001876,-0.24999723185891154,0.9999920128184185,0.9999920128184185,0.5033773861967694,0.49833622685185186,,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.49662261380323053,0.5016637731481481,0.5,0.5,0.5,0.5,-0.25001400655001876,-0.24999723185891154,0.9999920128184185,0.9999920128184185,0.5033773861967694,0.49833622685185186,0.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.5797356828193833,0.5715422453703703,0.5770224098063259,0.5728818698147147,0.5770224098063258,0.5728818698147146,-0.2332534245623992,-0.23492778381811946,0.9515057835265524,0.9515695053325838,0.5033773861967694,0.49833622685185186,1.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.5797356828193833,0.5715422453703703,0.5770224098063259,0.5728818698147147,0.5770224098063258,0.5728818698147146,-0.23326201554595702,-0.23492816877629855,0.9520632413249347,0.9521262170259784,0.5033773861967694,0.49833622685185186,1.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6641703377386197,0.6552372685185185,0.6624498770690049,0.65608604796441,0.6625863760163457,0.6561454825478021,-0.21431043860002702,-0.217105304295549,0.8993201722028727,0.898942340026561,0.5033773861967694,0.49833622685185186,2.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6641703377386197,0.6552372685185185,0.6624498770690049,0.65608604796441,0.665396356715869,0.6587263919168128,-0.21374959758866768,-0.21665200316525035,0.8982093998657689,0.8979080526428148,0.5033773861967694,0.49833622685185186,2.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6424375917767988,0.6274594907407407,0.6404046717228349,0.6284889769726834,0.7008953554648226,0.6874044836846888,-0.20993934406208542,-0.2145454098327759,0.8856346396789059,0.8897907335380992,0.5033773861967694,0.49833622685185186,3.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6641703377386197,0.6552372685185185,0.6624498770690049,0.65608604796441,0.7177398430982338,0.7079795768580005,-0.20476317226768986,-0.20862217782371476,0.870149160999412,0.8736637155192355,0.5033773861967694,0.49833622685185186,3.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6671071953010279,0.6545138888888888,0.6660474976659327,0.6550429966667863,0.7094436829063469,0.695484635704936,-0.21145350937344537,-0.2162243181226452,0.8945410098394372,0.8969426778852129,0.5033773861967694,0.49833622685185186,4.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6781204111600587,0.6691261574074074,0.677260595078482,0.6695384416375729,0.7336239215504969,0.7228515455137146,-0.20232086618711387,-0.2065402587587893,0.8636116923616936,0.8669051959204647,0.5033773861967694,0.49833622685185186,4.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6469897209985316,0.6417824074074074,0.6467295973535506,0.6419344214358846,0.6851932324813843,0.6756093614649353,-0.22117998431653393,-0.22381274219422823,0.9198949742068212,0.9210328611316624,0.5033773861967694,0.49833622685185186,5.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6781204111600587,0.6691261574074074,0.677260595078482,0.6695384416375729,0.7344071193020638,0.7223177854877263,-0.20229820498278261,-0.20653695301643335,0.8635395932410987,0.8668699266431938,0.5033773861967694,0.49833622685185186,5.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6245227606461087,0.6140046296296297,0.6234313618601326,0.6145708397126,0.6606317024648993,0.6473973586513425,-0.22699273897385153,-0.23094692565037075,0.9416937567294074,0.942863664504953,0.5033773861967694,0.49833622685185186,6.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6781204111600587,0.6691261574074074,0.677260595078482,0.6695384416375729,0.7437418790673668,0.7335637945323741,-0.20169488092360877,-0.20557299862546022,0.861759626188537,0.8647902756706657,0.5033773861967694,0.49833622685185186,6.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.5720998531571219,0.5682870370370371,0.5717589413926567,0.5684883050761781,0.597411988583944,0.5843764910320132,-0.2410521297778066,-0.24332403263891114,0.9798549956630969,0.9802728970324563,0.5033773861967694,0.49833622685185186,7.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.6983847283406754,0.6914785879629629,0.6977639014150693,0.6917661909004491,0.7765958602996025,0.7693428171908803,-0.19009501969742534,-0.19318380099652369,0.8133960865968642,0.8171584075602669,0.48164464023494863,0.474609375,7.0,logreg
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.49662261380323053,0.5016637731481481,0.5,0.5,0.5,0.5,-0.25001400655001876,-0.24999723185891154,0.9999920128184185,0.9999920128184185,0.5033773861967694,0.49833622685185186,8.0,
43979,44,"{'score_set': (1,), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.7531571218795888,0.7518084490740741,0.7536328989978519,0.7515618611030845,0.8419066172964565,0.8375738235819556,-0.1610564624092438,-0.1635707412024223,0.7117892126617655,0.7140789962264343,0.4499265785609398,0.46079282407407407,8.0,logreg
