dataset,fold,params,clf,score_set,fit_time,score_time,test_acc,train_acc,test_aaacc,train_aaacc,test_bacc,train_bacc,test_ece,train_ece,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_cov,train_cov,test_eff,train_eff,n_features,stage,clf_variant
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",6.8425939083099365,0.010235786437988281,0.54,0.62,0.76,0.8083333333333332,0.3068627450980392,0.42744859307359306,0.15107625100595676,0.09534902009965157,,,,,,,,,,,,,,,0.6271629035013615,0.5617557943493847,0.98,1.0,2.0,1.84,3.0,,
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.32,0.32,0.6666666666666665,0.6666666666666669,0.11209150326797392,-0.1064393939393939,0.006666666666666765,0.0033333333333334103,,,,,,,,,,,,,,,0.9182958340544894,0.9182958340544894,1.0,1.0,3.0,3.0,,0.0,
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.0017774830339476466,,0.3,0.35,0.3,0.35,0.0,0.0,0.04999999999999988,1.6653345369377348e-16,,,,,,,,,,,,,,,0.917791961959904,0.917791961959904,0.3,0.35,1.0,1.0,,0.0,nb
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.3,0.35,0.3,0.35,0.0,0.0,0.0500000000000001,1.1102230246251565e-16,,,,,,,,,,,,,,,0.9177919619599044,0.9177919619599042,0.3,0.35,1.0,1.0,,0.0,logreg
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.3,0.35,0.3,0.35,0.0,0.0,0.0500000000000001,1.1102230246251565e-16,,,,,,,,,,,,,,,0.9177919619599044,0.9177919619599042,0.3,0.35,1.0,1.0,,0.0,xgboost
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.3,0.35,0.3,0.35,0.0,0.0,0.0500000000000001,1.1102230246251565e-16,,,,,,,,,,,,,,,0.9177919619599044,0.9177919619599042,0.3,0.35,1.0,1.0,,0.0,random_forest
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.3,0.35,0.3,0.35,0.0,0.0,0.0500000000000001,1.1102230246251565e-16,,,,,,,,,,,,,,,0.9177919619599044,0.9177919619599042,0.3,0.35,1.0,1.0,,0.0,miss
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5,0.44,0.7216666666666666,0.7225000000000001,0.23039215686274517,0.1291396103896104,0.25707515450575646,0.23458532295122697,,,,,,,,,,,,,,,0.7552428416142677,0.7527723417288098,1.0,1.0,2.34,2.33,,1.0,
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.64,0.68,0.64,0.68,0.49999999999999994,0.49999999999999994,0.059155418166107365,0.022937702322758987,,,,,,,,,,,,,,,0.5396614421603766,0.5444232399543538,0.64,0.68,1.0,1.0,,1.0,nb
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.010376414051279426,,0.64,0.68,0.64,0.68,0.49999999999999994,0.49999999999999994,0.06272834511944297,0.051204677518281616,,,,,,,,,,,,,,,0.6226602530512884,0.6267274801400333,0.64,0.68,1.0,1.0,,1.0,logreg
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.08884487801697105,,0.64,0.68,0.64,0.68,0.49999999999999994,0.49999999999999994,0.047440562844276425,0.007419167757034302,,,,,,,,,,,,,,,0.4803588589699543,0.4864262185773093,0.64,0.68,1.0,1.0,,1.0,xgboost
61,20,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.22776228899601847,,0.64,0.68,0.64,0.68,0.49999999999999994,0.49999999999999994,0.044290553582314846,0.0004929228785590789,,,,,,,,,,,,,,,0.43940460763031447,0.44606225320047077,0.64,0.68,1.0,1.0,,1.0,random_forest
