dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",7.343514919281006,0.030211925506591797,0.8787878787878788,0.8816936488169365,0.7163690476190476,0.6900317227916056,0.8725694444444444,0.8772938018545633,-0.08893201825663162,-0.08791004265253431,0.48333333333333334,0.4166666666666667,0.9,0.9083333333333333,0.6304347826086957,0.6666666666666666,0.6547619047619048,0.6764275256222547,0.5471698113207547,0.5128205128205128,0.43010358637486407,0.41555695314921076,0.4444444444444444,0.4122042341220423,,,,,,,,,,,,,,,,,,
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.5,0.5,-0.1285626181044378,-0.12710740699959402,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6084362374370054,0.6084362374370054,0.8484848484848485,0.8505603985056039,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.0,
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.5,0.5,-0.1285626181044378,-0.12710740699959402,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6084362374370054,0.6084362374370054,0.8484848484848485,0.8505603985056039,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.0,logreg
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.5,0.5,-0.1285626181044378,-0.12710740699959402,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6084362374370054,0.6084362374370054,0.8484848484848485,0.8505603985056039,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.0,logreg_unregularized
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.7223214285714286,0.6970656417764763,-0.10736441425050776,-0.10957378076338092,0.0,0.0,0.5666666666666667,0.5083333333333333,0.0,0.0,0.8779761904761905,0.8857979502196194,0.0,0.0,0.5380390605665016,0.5289711619071176,0.7601010101010102,0.8318804483188045,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,0.8505603985056039,0.8484848484848485,1.0,
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.7223214285714286,0.6970656417764763,-0.10752677404017535,-0.10961645210156638,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545087793742982,0.5362752082820348,0.8484848484848485,0.8505603985056039,,,,,,,,,,,,,,,,,1.0,logreg
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.7223214285714286,0.6970656417764763,-0.10736433929281035,-0.10957378116441832,0.0,0.0,0.5666666666666667,0.5083333333333333,0.0,0.0,0.8779761904761905,0.8857979502196194,0.0,0.0,0.5380794851676567,0.5290120739789301,0.7601010101010102,0.8318804483188045,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8686868686868687,0.8567870485678705,0.730952380952381,0.6994326500732064,0.7823164682539683,0.7634089799902393,-0.0986803656527613,-0.10335473391419381,0.5333333333333333,0.475,0.95,0.9583333333333334,0.5714285714285714,0.5229357798165137,0.32142857142857145,0.31332357247437775,0.5517241379310345,0.4978165938864629,0.4949429503614633,0.49503030570963324,0.6515151515151516,0.6463262764632628,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,0.6463262764632628,0.6515151515151516,2.0,
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8505603985056039,0.5,0.5,0.7823164682539683,0.7634089799902393,-0.09927068089660375,-0.10347601613845947,0.0,0.0,0.95,0.9583333333333334,0.0,0.0,0.32142857142857145,0.31332357247437775,0.0,0.0,0.5081967391410128,0.5073245244196494,0.6515151515151516,0.6463262764632628,,,,,,,,,,,,,,,,,2.0,logreg
thorax,18,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8686868686868687,0.8567870485678705,0.730952380952381,0.6994326500732064,0.7823164682539683,0.7634089799902393,-0.09879149748800009,-0.10336067890503792,0.5333333333333333,0.475,0.95,0.9583333333333334,0.5714285714285714,0.5229357798165137,0.32142857142857145,0.31332357247437775,0.5517241379310345,0.4978165938864629,0.49585364661510184,0.4954886546099034,0.6515151515151516,0.6463262764632628,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
