dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",3.5891928672790527,0.02301478385925293,0.8585858585858586,0.8866749688667497,0.6444841867469879,0.6543316769562817,0.8616575677710845,0.8564284997239371,-0.09784355580792926,-0.0876711162102651,0.328125,0.3275862068965517,0.890625,0.853448275862069,0.6176470588235294,0.7450980392156863,0.6475903614457831,0.6506550218340611,0.42857142857142855,0.4550898203592814,0.4387681875015887,0.42866526418777834,0.4722222222222222,0.5105853051058531,,,,,,,,,,,,,,,,,,
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.5,0.5,-0.13579070950137215,-0.12359008636984889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958011882707064,0.5958011882707064,0.8383838383838383,0.8555417185554172,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.0,
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.5,0.5,-0.13579070950137215,-0.12359008636984889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958011882707064,0.5958011882707064,0.8383838383838383,0.8555417185554172,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.0,logreg
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.5,0.5,-0.13579070950137215,-0.12359008636984889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958011882707064,0.5958011882707064,0.8383838383838383,0.8555417185554172,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.0,logreg_unregularized
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.7227974397590361,0.6954148471615721,-0.11318049268674113,-0.10670718734215773,0.0,0.0,0.578125,0.5,0.0,0.0,0.8674698795180723,0.8908296943231441,0.0,0.0,0.5401229046761381,0.5182025000222686,0.7929292929292928,0.8156911581569116,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,1.0,
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.7227974397590361,0.6954148471615721,-0.11336528477022303,-0.1067523031265624,0.0,0.0,0.578125,0.5,0.0,0.0,0.8674698795180723,0.8908296943231441,0.0,0.0,0.5469960142607473,0.5257167313723149,0.7929292929292928,0.8156911581569116,,,,,,,,,,,,,,,,,1.0,logreg
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.7227974397590361,0.6954148471615721,-0.1131802713868386,-0.10670719182594005,0.0,0.0,0.578125,0.5,0.0,0.0,0.8674698795180723,0.8908296943231441,0.0,0.0,0.5403213008800198,0.5184099090063751,0.7929292929292928,0.8156911581569116,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8667496886674969,0.7204442771084337,0.7035900717763389,0.7874623493975903,0.7584889323897004,-0.1068732612151494,-0.09929058105780182,0.53125,0.47413793103448276,0.984375,0.9396551724137931,0.53125,0.5445544554455446,0.31626506024096385,0.3158660844250364,0.53125,0.5069124423963134,0.5047856963781152,0.4839129129476204,0.5984848484848485,0.6724782067247821,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,0.6724782067247821,0.5984848484848485,2.0,
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8667496886674969,0.7204442771084337,0.7035900717763389,0.7918157003012049,0.7566443306730913,-0.10672172837985415,-0.09977937074549639,0.53125,0.47413793103448276,0.984375,0.9396551724137931,0.53125,0.5445544554455446,0.31626506024096385,0.3158660844250364,0.53125,0.5069124423963134,0.5189302419457573,0.49779863348813286,0.5984848484848485,0.6724782067247821,,,,,,,,,,,,,,,,,2.0,logreg
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8667496886674969,0.7204442771084337,0.7035900717763389,0.7918157003012049,0.7566443306730913,-0.10655874847094421,-0.09951816914157219,0.53125,0.47413793103448276,0.984375,0.9396551724137931,0.53125,0.5445544554455446,0.31626506024096385,0.3158660844250364,0.53125,0.5069124423963134,0.5071759004168727,0.4857501957558884,0.5984848484848485,0.6724782067247821,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.851010101010101,0.8816936488169365,0.6778049698795181,0.6944109822817849,0.7901684864457832,0.794929227525975,-0.1107048832352274,-0.09449869172465514,0.421875,0.43103448275862066,0.890625,0.8879310344827587,0.5510204081632653,0.6329113924050633,0.5512048192771084,0.5181950509461426,0.4778761061946903,0.5128205128205128,0.4564461189208726,0.46171606470294824,0.553030303030303,0.5740971357409713,0.5740971357409713,0.553030303030303,0.5740971357409713,0.553030303030303,0.5740971357409713,0.553030303030303,0.5740971357409713,0.553030303030303,0.5740971357409713,0.553030303030303,0.5740971357409713,0.553030303030303,0.5740971357409713,0.553030303030303,0.7521793275217933,0.7348484848484849,3.0,
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.851010101010101,0.8816936488169365,0.6778049698795181,0.6944109822817849,0.8139589608433735,0.7980098378758219,-0.10787210844063606,-0.09482006915013023,0.421875,0.43103448275862066,0.890625,0.8879310344827587,0.5510204081632653,0.6329113924050633,0.5512048192771084,0.5181950509461426,0.4778761061946903,0.5128205128205128,0.4749946001172757,0.47536165792844953,0.553030303030303,0.5740971357409713,,,,,,,,,,,,,,,,,3.0,logreg
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.851010101010101,0.8816936488169365,0.6778049698795181,0.6944109822817849,0.8139589608433735,0.7980098378758219,-0.10834066618996101,-0.09453978161677831,0.421875,0.43103448275862066,0.890625,0.8879310344827587,0.5510204081632653,0.6329113924050633,0.5512048192771084,0.5181950509461426,0.4778761061946903,0.5128205128205128,0.4583070577625348,0.45952983122420493,0.553030303030303,0.5740971357409713,,,,,,,,,,,,,,,,,3.0,logreg_unregularized
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8585858585858586,0.8866749688667497,0.6697100903614458,0.6865745620639462,0.8016048569277108,0.8128670380966722,-0.10882439968667351,-0.09247337254138532,0.390625,0.4051724137931034,0.890625,0.8879310344827587,0.5952380952380952,0.6811594202898551,0.5512048192771084,0.5181950509461426,0.4716981132075472,0.5081081081081081,0.45397010747270977,0.454831082608724,0.553030303030303,0.5740971357409713,0.6214196762141968,0.601010101010101,0.6214196762141968,0.601010101010101,0.6214196762141968,0.601010101010101,0.6214196762141968,0.601010101010101,0.6214196762141968,0.601010101010101,0.6214196762141968,0.601010101010101,0.6214196762141968,0.601010101010101,0.8555417185554172,0.8383838383838383,4.0,
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8585858585858586,0.8866749688667497,0.6697100903614458,0.6865745620639462,0.8112763554216867,0.8164872258194048,-0.10693346322233616,-0.09296022031324225,0.390625,0.4051724137931034,0.84375,0.8103448275862069,0.5952380952380952,0.6811594202898551,0.6234939759036144,0.6229985443959243,0.4716981132075472,0.5081081081081081,0.47073732236998955,0.4654916443161951,0.5681818181818181,0.5965130759651307,,,,,,,,,,,,,,,,,4.0,logreg
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8585858585858586,0.8866749688667497,0.6697100903614458,0.6865745620639462,0.8112763554216867,0.8164872258194048,-0.10750079116958429,-0.09274965583876325,0.390625,0.4051724137931034,0.828125,0.8103448275862069,0.5952380952380952,0.6811594202898551,0.6265060240963856,0.6331877729257642,0.4716981132075472,0.5081081081081081,0.45475217756709646,0.4501322839240539,0.5909090909090909,0.5877957658779576,,,,,,,,,,,,,,,,,4.0,logreg_unregularized
thorax,23,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8636363636363636,0.8866749688667497,0.6601091867469879,0.6507491341665412,0.8102174322289157,0.832768659338453,-0.10706686529583123,-0.09120096341172002,0.359375,0.31896551724137934,0.921875,0.9224137931034483,0.6388888888888888,0.7551020408163265,0.45481927710843373,0.4497816593886463,0.46,0.4484848484848485,0.45119038717573595,0.45111560375992943,0.5833333333333334,0.5828144458281445,0.5778331257783312,0.6035353535353535,0.5778331257783312,0.6035353535353535,0.5778331257783312,0.6035353535353535,0.6774595267745953,0.7070707070707071,0.6774595267745953,0.7070707070707071,0.6774595267745953,0.7070707070707071,0.6774595267745953,0.7070707070707071,0.8555417185554172,0.8383838383838383,5.0,
