dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",0.3678319454193115,0.008109569549560547,0.9218106995884774,0.9105691056910569,0.7248917748917749,0.7308204328477426,0.8917748917748919,0.9037313148986346,-0.06889467383828696,-0.06719525611333073,0.29646884691702285,0.3225010344229187,0.44855967078189307,0.3150406504065041,,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8641975308641975,0.8760162601626016,0.5,0.5,0.5,0.5,-0.11749984087465082,-0.10861177209333066,0.5407046129434324,0.5407046129434324,0.8641975308641975,0.8760162601626016,0.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8641975308641975,0.8760162601626016,0.5,0.5,0.6606060606060606,0.7405576052641588,-0.10956430606918932,-0.08914110733589733,0.44786945536789746,0.44245877677419876,0.8559670781893004,0.6036585365853658,1.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8641975308641975,0.8760162601626016,0.5,0.5,0.6606060606060606,0.7405576052641588,-0.10863986932874495,-0.08929149353944481,0.46327395670854826,0.4581447215781619,0.8559670781893004,0.6036585365853658,1.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8806584362139918,0.8882113821138211,0.6883116883116883,0.7321326689741736,0.7582972582972582,0.8085086151154388,-0.09451544583277423,-0.0826193050004285,0.42416885638175256,0.41068709110953155,0.609053497942387,0.5772357723577235,2.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8641975308641975,0.8760162601626016,0.5,0.5,0.7582972582972582,0.8085086151154388,-0.09551646786949089,-0.08302949031621773,0.4475174533758807,0.4316050072486303,0.609053497942387,0.5772357723577235,2.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.9004065040650406,0.6060606060606061,0.6265071697539082,0.7943001443001443,0.8358753946217337,-0.08723662880922402,-0.0774035606468217,0.41019529131171784,0.3877045900213778,0.6625514403292181,0.47560975609756106,3.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.9004065040650406,0.6060606060606061,0.6265071697539082,0.8096681096681096,0.8400213000646609,-0.0864606689839618,-0.07759935461847647,0.43366138152487455,0.4115617105473892,0.6625514403292181,0.47560975609756106,3.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8983739837398373,0.6060606060606061,0.6183104484424328,0.8264069264069265,0.8687573694420144,-0.08789520120603209,-0.07524087935900371,0.38119512517862314,0.3648464759156858,0.45267489711934156,0.4146341463414634,4.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8983739837398373,0.6060606060606061,0.6183104484424328,0.845959595959596,0.8675592408048383,-0.08056860645058134,-0.076932854217294,0.4058722503688828,0.39540675574173695,0.4403292181069959,0.4024390243902439,4.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8963414634146342,0.5909090909090909,0.6030770986269065,0.8655844155844156,0.88690046023354,-0.07945056003315575,-0.0741176433903613,0.37308345944438553,0.3484737925579144,0.39094650205761317,0.3272357723577236,5.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9012345679012346,0.8943089430894309,0.6874458874458874,0.6933931763721426,0.876984126984127,0.881119014111293,-0.0774157105584436,-0.07482437908919486,0.390025829641073,0.3847683522311631,0.3868312757201646,0.31910569105691056,5.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8943089430894309,0.5909090909090909,0.5948803773154312,0.8736652236652237,0.8961051310334336,-0.07956439181259477,-0.07318972480353336,0.37052708609714236,0.339116913545388,0.37448559670781895,0.30284552845528456,6.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9012345679012346,0.8943089430894309,0.6874458874458874,0.6933931763721426,0.8871572871572871,0.8919972614202579,-0.07650999722461227,-0.0739046104379653,0.3890528947094022,0.3806877056026638,0.37448559670781895,0.31097560975609756,6.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9012345679012346,0.9024390243902439,0.6491341991341991,0.69099691909779,0.8780663780663781,0.8955155756722833,-0.08017574587776256,-0.07120039817976431,0.32924341418662767,0.3354869104813587,0.49382716049382724,0.32113821138211385,7.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9012345679012346,0.9044715447154471,0.6491341991341991,0.6991936404092655,0.9002886002886002,0.8976075463086226,-0.0746218341693169,-0.07284096546858214,0.37101299180255315,0.3768685369291009,0.35802469135802467,0.3292682926829268,7.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8983739837398373,0.5909090909090909,0.6112738199383819,0.8999278499278499,0.8980449583507664,-0.07721316239260499,-0.07057189342932793,0.33303173639369166,0.33122807277730343,0.46913580246913583,0.3089430894308943,8.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9094650205761317,0.9004065040650406,0.6922077922077923,0.7039100832984672,0.9067821067821068,0.898596477882165,-0.07169272328960286,-0.07179915710964095,0.3727923840770808,0.37292632680352344,0.36213991769547327,0.30284552845528456,8.0,logreg
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.9065040650406504,0.6945887445887446,0.6933171047126393,0.8939393939393939,0.9024190787722034,-0.07140285255250653,-0.06918758673557797,0.31206560554827006,0.32777752888961414,0.44444444444444453,0.33739837398373984,9.0,
thorax,43,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.9085365853658537,0.6945887445887446,0.7015138260241147,0.904978354978355,0.9025331862614583,-0.06962885873312759,-0.07071877924310667,0.36370799279547444,0.36903058647541215,0.4609053497942387,0.29268292682926833,9.0,logreg
