dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",0.5519092082977295,0.009046077728271484,0.9053497942386831,0.9105691056910569,0.6064814814814814,0.6905004389815628,0.887002743484225,0.9084284460052677,-0.07021188979247134,-0.06426438917487387,0.30436624302588666,0.3185170794364235,0.4156378600823045,0.3394308943089431,,
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8638211382113821,0.5,0.5,0.5,0.5,-0.09939382422279507,-0.1176341793905744,0.5741434404076893,0.5741434404076892,0.8888888888888888,0.8638211382113821,0.0,
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8638211382113821,0.5,0.5,0.7314814814814815,0.7058999122036874,-0.08581350998695175,-0.10073864763037876,0.501958164111001,0.4934713154439583,0.5679012345679013,0.7459349593495936,1.0,
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8638211382113821,0.5,0.5,0.7314814814814815,0.7058999122036874,-0.08556582098215278,-0.10085827335299562,0.5139123282463937,0.5058495726762263,0.5679012345679013,0.7459349593495936,1.0,logreg
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8821138211382114,0.7129629629629629,0.7180333625987708,0.8010973936899862,0.7898156277436348,-0.07849859205194694,-0.0902802399965349,0.45046503494342743,0.4452952911886111,0.5679012345679013,0.5975609756097561,2.0,
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8821138211382114,0.7129629629629629,0.7180333625987708,0.8131001371742111,0.7858823529411765,-0.07848220735086232,-0.09118646246656871,0.477271567726209,0.46778685278982574,0.5679012345679013,0.5975609756097561,2.0,logreg
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9176954732510288,0.8882113821138211,0.6296296296296297,0.6146971027216857,0.8234739368998628,0.8319402985074626,-0.07195064363105828,-0.08311161791927575,0.385022019470806,0.4119354941852387,0.5843621399176955,0.508130081300813,3.0,
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9176954732510288,0.8882113821138211,0.6296296296296297,0.6146971027216857,0.8364197530864197,0.8277787532923617,-0.0716196687723912,-0.08428506289258231,0.42644888560884386,0.44283497226767427,0.5679012345679013,0.5975609756097561,3.0,logreg
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8963414634146342,0.6226851851851852,0.6571202809482002,0.8271604938271605,0.8536611062335382,-0.07777275013682702,-0.07699873375776868,0.3455418248679125,0.38019694584699076,0.5308641975308642,0.40447154471544716,4.0,
thorax,46,"{'score_set': (1, 2, 3), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8963414634146342,0.6226851851851852,0.6571202809482002,0.827932098765432,0.8504828797190518,-0.07505541567996935,-0.07881107821893721,0.4081081048868702,0.4255215046448748,0.5432098765432098,0.43902439024390244,4.0,logreg
