dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",0.4079287052154541,0.022814512252807617,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,,,,,,,,,,,,,,,,,,
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.0,
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.0,logreg
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.0,logreg_unregularized
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,1.0,
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5965297167929797,0.6264125397073373,-0.14168780435792788,-0.11506516115953609,0.0,0.0,0.8260869565217391,0.8828828828828829,0.0,0.0,0.3669724770642202,0.3699421965317919,0.0,0.0,0.5552363889694649,0.5546035157880137,0.8257575757575757,0.7048567870485678,,,,,,,,,,,,,,,,,1.0,logreg
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5965297167929797,0.6264125397073373,-0.14171346549830033,-0.11505196579864534,0.0,0.0,0.8260869565217391,0.8828828828828829,0.0,0.0,0.3669724770642202,0.3699421965317919,0.0,0.0,0.5515692022129149,0.5508910609566593,0.8257575757575757,0.7048567870485678,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,2.0,
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.6905996543012898,0.6940907670676457,-0.13399688976931073,-0.11165891292400053,0.0,0.0,0.8260869565217391,0.8828828828828829,0.0,0.0,0.3669724770642202,0.3699421965317919,0.0,0.0,0.5381301649363277,0.5364850963772385,0.8257575757575757,0.7048567870485678,,,,,,,,,,,,,,,,,2.0,logreg
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.6905996543012898,0.6940907670676457,-0.13378503076158546,-0.11163836639930672,0.0,0.0,0.7391304347826086,0.7207207207207207,0.0,0.0,0.6330275229357798,0.6271676300578035,0.0,0.0,0.5327399940690074,0.5308253588725487,0.7575757575757576,0.7073474470734744,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.5,0.5,-0.1451787790389609,-0.11912364746769974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795888117769968,0.5795888117769968,0.8257575757575758,0.8617683686176837,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,0.8617683686176837,0.8257575757575758,3.0,
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.7740770287639056,0.7729521428943393,-0.12462712996074617,-0.10496689604048422,0.0,0.0,0.9420289855072463,0.9459459459459459,0.0,0.0,0.42813455657492355,0.4277456647398844,0.0,0.0,0.5082205052264671,0.4995935800599016,0.5732323232323232,0.5678704856787048,,,,,,,,,,,,,,,,,3.0,logreg
thorax,47,"{'score_set': '(-2, -1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-2, -1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8257575757575758,0.8617683686176837,0.5,0.5,0.7740770287639056,0.7729521428943393,-0.12437507024912624,-0.10500104966189064,0.0,0.0,0.9420289855072463,0.9459459459459459,0.0,0.0,0.42813455657492355,0.4277456647398844,0.0,0.0,0.4999402591844184,0.49086783878887313,0.5732323232323232,0.5678704856787048,,,,,,,,,,,,,,,,,3.0,logreg_unregularized
