dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",3.3462765216827393,0.020797014236450195,0.8787878787878788,0.8767123287671232,0.6147724954091002,0.6211754652030524,0.8826770046929198,0.862912544233408,-0.08595330815487898,-0.09099958674218882,0.2413793103448276,0.2540983606557377,0.8793103448275862,0.8852459016393442,0.7777777777777778,0.7948717948717948,0.665680473372781,0.6637298091042585,0.3684210526315789,0.38509316770186336,0.4525280166507665,0.4451507995295242,0.46212121212121215,0.4595267745952677,,,,,,,,,,,,,,,,,,
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.5,0.5,-0.12504264508136137,-0.12884745715679075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146539388482299,0.6146539388482299,0.8535353535353535,0.8480697384806973,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.0,
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.5,0.5,-0.12504264508136137,-0.12884745715679075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146539388482299,0.6146539388482299,0.8535353535353535,0.8480697384806973,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.0,logreg
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.5,0.5,-0.12504264508136137,-0.12884745715679075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146539388482299,0.6146539388482299,0.8535353535353535,0.8480697384806973,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.0,logreg_unregularized
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.7181697612732095,0.6994595700633109,-0.10488252317757688,-0.11079764989518356,0.0,0.0,0.5517241379310345,0.5163934426229508,0.0,0.0,0.8846153846153846,0.882525697503671,0.0,0.0,0.5340113859936946,0.5333390264365441,0.7550505050505051,0.8343711083437111,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,1.0,
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.7181697612732095,0.6994595700633109,-0.10502159237082154,-0.11083949043956402,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54128364965172,0.54062990539488,0.8535353535353535,0.8480697384806973,,,,,,,,,,,,,,,,,1.0,logreg
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.7181697612732095,0.6994595700633109,-0.1048824486334789,-0.11079764997045427,0.0,0.0,0.5517241379310345,0.5163934426229508,0.0,0.0,0.8846153846153846,0.882525697503671,0.0,0.0,0.5340281688753852,0.5333558125403983,0.7550505050505051,0.8343711083437111,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8661616161616161,0.8580323785803238,0.7144970414201184,0.7077224910329554,0.7893287084268517,0.7595808959822825,-0.0979570141853131,-0.10367307587897706,0.5,0.4918032786885246,0.9827586206896551,0.9426229508196722,0.5471698113207547,0.5357142857142857,0.33136094674556216,0.30837004405286345,0.5225225225225225,0.5128205128205128,0.4928035014592423,0.5002208435833351,0.595959595959596,0.6737235367372354,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,0.6737235367372354,0.595959595959596,2.0,
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.7940726382370944,0.7578777593221155,-0.09812550871863418,-0.10410442040233113,0.0,0.0,0.9827586206896551,0.9426229508196722,0.0,0.0,0.33136094674556216,0.30837004405286345,0.0,0.0,0.5064742346121569,0.5135428529739948,0.595959595959596,0.6737235367372354,,,,,,,,,,,,,,,,,2.0,logreg
thorax,55,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8661616161616161,0.8580323785803238,0.7144970414201184,0.7077224910329554,0.7940726382370944,0.7578777593221155,-0.09784517685858962,-0.10387361166096166,0.5,0.4918032786885246,0.9827586206896551,0.9426229508196722,0.5471698113207547,0.5357142857142857,0.33136094674556216,0.30837004405286345,0.5225225225225225,0.5128205128205128,0.49424423599032324,0.5018520354883633,0.595959595959596,0.6737235367372354,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
