dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,stage_loss,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,1.6294641494750977,0.007855415344238281,0.9012345679012346,0.9186991869918699,0.709297017650639,0.7434787434787435,0.8840535605599513,0.915972915972916,-0.07485043815688588,-0.06264325364543562,0.3032867149590588,0.30616404650036466,0.44032921810699593,0.3231707317073171,,
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.8719512195121951,0.5,0.5,0.5,0.5,-0.1112976243809412,-0.11165229030339084,0.5520625714615983,0.5520625714615981,0.8724279835390947,0.8719512195121951,0.0,
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.8719512195121951,0.5,0.5,0.5,0.5,-0.1112976243809412,-0.11165229030339084,0.5520625714615983,0.5520625714615981,0.8724279835390947,0.8719512195121951,0.0,logreg
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.8719512195121951,0.5,0.5,0.7128727936701156,0.7127317127317127,-0.09591775256235519,-0.09556108625569128,0.4767055883640471,0.4716943095251087,0.6831275720164609,0.6890243902439025,1.0,
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.8719512195121951,0.5,0.5,0.7128727936701156,0.7127317127317127,-0.09592773102456668,-0.09568236743391871,0.4891540183010524,0.48441465160276265,0.6831275720164609,0.6890243902439025,1.0,logreg
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8847736625514403,0.8861788617886179,0.7274041387705417,0.7112887112887113,0.7680310407790627,0.8052318052318053,-0.0871053496428628,-0.08605182264462223,0.4238826923981254,0.4197920547954839,0.6625514403292181,0.5508130081300813,2.0,
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8847736625514403,0.8861788617886179,0.7274041387705417,0.7112887112887113,0.7680310407790627,0.8052318052318053,-0.08730913520234192,-0.0863439184045717,0.44713584235419107,0.443057617451267,0.6625514403292181,0.5508130081300813,2.0,logreg
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8847736625514403,0.8882113821138211,0.6860925136944613,0.6989121989121989,0.8209068776628121,0.8463758463758464,-0.08380283655209299,-0.08339157594196242,0.41032670672793453,0.4001234137405879,0.43621399176954734,0.44308943089430897,3.0,
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8847736625514403,0.8882113821138211,0.6860925136944613,0.6989121989121989,0.828058429701765,0.8475598475598476,-0.08458906747894826,-0.08370216714105293,0.43098833829030303,0.42333449452622496,0.4197530864197531,0.44918699186991873,3.0,logreg
thorax,61,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8847736625514403,0.8963414634146342,0.6310103469263543,0.6832611832611832,0.8329275715155203,0.8722018722018722,-0.08423512973141545,-0.07898182529363397,0.3790399794845247,0.37399206161872517,0.43621399176954734,0.4247967479674797,4.0,
