dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",0.9061095714569092,0.00827479362487793,0.9300411522633745,0.9044715447154471,0.8025821596244131,0.712543808411215,0.9237089201877935,0.9080570969626168,-0.057359851735033454,-0.07088762788597155,0.36109372703546483,0.32814626176357736,0.4238683127572016,0.3678861788617886,,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8765432098765432,0.8699186991869918,0.5,0.5,0.5,0.5,-0.1082590952377455,-0.11316015599180382,0.5576611106650713,0.5576611106650714,0.8765432098765432,0.8699186991869918,0.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8765432098765432,0.8699186991869918,0.5,0.5,0.5,0.5,-0.1082590952377455,-0.11316015599180382,0.5576611106650713,0.5576611106650714,0.8765432098765432,0.8699186991869918,0.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8765432098765432,0.8699186991869918,0.5,0.5,0.7676056338028168,0.6872809579439253,-0.0877744368405671,-0.0996931959286148,0.5134086726084598,0.49124924278729537,0.5267489711934157,0.7662601626016261,1.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8765432098765432,0.8699186991869918,0.5,0.5,0.7676056338028168,0.6872809579439253,-0.08829317403870246,-0.0998024798233158,0.5227040737242875,0.5017868838277807,0.5267489711934157,0.7662601626016261,1.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8821138211382114,0.7814553990610329,0.6864047897196262,0.8338810641627543,0.7767048773364487,-0.07799626702819967,-0.09068194844117305,0.49501032354255475,0.4463123459976963,0.588477366255144,0.5873983739837398,2.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8821138211382114,0.7814553990610329,0.6864047897196262,0.8338810641627543,0.7767048773364487,-0.07919165697279779,-0.09116957192755798,0.5141344339052852,0.4653681089402001,0.588477366255144,0.5873983739837398,2.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8841463414634146,0.7671361502347418,0.6609959112149533,0.845226917057903,0.8354264018691588,-0.08062185928815054,-0.08661152064814842,0.45406641460106545,0.4135827131063149,0.448559670781893,0.4349593495934959,3.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8841463414634146,0.7671361502347418,0.6609959112149533,0.8557120500782472,0.8378358644859814,-0.07966451684066138,-0.08680595227422297,0.4795093028512337,0.4361254587164348,0.448559670781893,0.4349593495934959,3.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8724279835390947,0.8861788617886179,0.7697183098591549,0.7418954439252337,0.8607981220657277,0.8651066004672898,-0.07417562805695428,-0.08047284660357132,0.42244343846081217,0.38327608841714916,0.4320987654320988,0.4065040650406504,4.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.9218106995884774,0.8841463414634146,0.6833333333333333,0.5812646028037383,0.8702660406885759,0.8568560163551402,-0.07070584772443425,-0.08099660959471047,0.45450607176907154,0.4135246751887368,0.4320987654320988,0.4065040650406504,4.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8943089430894309,0.7671361502347418,0.7067026869158879,0.8832550860719874,0.8900408878504673,-0.07345416863578726,-0.0776114709254819,0.3939692069247325,0.35604453167891154,0.448559670781893,0.3556910569105691,5.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8943089430894309,0.7671361502347418,0.7067026869158879,0.8910798122065727,0.884254526869159,-0.06761860298117565,-0.07846489596503381,0.4339343305679152,0.3999378499818686,0.3374485596707819,0.3597560975609756,5.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8943089430894309,0.7671361502347418,0.7067026869158879,0.8911580594679187,0.8957907418224299,-0.07325295873781278,-0.07683883564836336,0.3731980338467692,0.3493399078740952,0.40329218106995884,0.3333333333333333,6.0,
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8943089430894309,0.7671361502347418,0.7000584112149533,0.8990610328638499,0.8913916471962617,-0.06655963843570709,-0.07768989992070964,0.42583181548990157,0.3964657467183963,0.3786008230452675,0.39837398373983746,6.0,logreg
thorax,73,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8930041152263375,0.8922764227642277,0.7671361502347418,0.712178738317757,0.8949921752738655,0.9013580607476636,-0.06909600871494488,-0.07519701031843588,0.3565587710450529,0.3434126040010674,0.3168724279835391,0.33536585365853655,7.0,
