dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",0.22626948356628418,0.008310794830322266,0.9094650205761317,0.9105691056910569,0.7807692307692308,0.7661956394097154,0.9207417582417582,0.8813755039730693,-0.06764254390604017,-0.06783447705662467,0.3490206617757992,0.33489762285590485,0.3744855967078189,0.42073170731707316,,
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8800813008130082,0.5,0.5,0.5,0.5,-0.12386893497811825,-0.10553820477229164,0.5291271234509869,0.5291271234509869,0.8559670781893004,0.8800813008130082,0.0,
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8800813008130082,0.5,0.5,0.5,0.5,-0.12386893497811825,-0.10553820477229164,0.5291271234509869,0.5291271234509869,0.8559670781893004,0.8800813008130082,0.0,logreg
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8800813008130082,0.5,0.5,0.7161401098901098,0.7111402513015227,-0.10445121373410172,-0.09150967297488102,0.4564420896012598,0.45516218841682904,0.7530864197530865,0.6544715447154472,1.0,
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8800813008130082,0.5,0.5,0.7161401098901098,0.7111402513015227,-0.10504205012877818,-0.09162457989856057,0.46845832227965883,0.4672555728211877,0.7530864197530865,0.6544715447154472,1.0,logreg
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8841463414634146,0.7331043956043956,0.7072650409049986,0.7880494505494504,0.7949269972990958,-0.09165872340571204,-0.08399579293565677,0.4381085882888618,0.41366334317518794,0.6419753086419753,0.5609756097560976,2.0,
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8800813008130082,0.5,0.5,0.7835164835164834,0.7976279015148551,-0.09343989869336342,-0.08424045946267687,0.45589028853535457,0.4332912557476767,0.6419753086419753,0.5609756097560976,2.0,logreg
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8861788617886179,0.7212225274725275,0.6791404078756802,0.8225961538461538,0.8407640818882844,-0.09084877800707987,-0.08139513270490097,0.3977167020963895,0.3880082310264464,0.5308641975308642,0.3943089430894309,3.0,
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.8861788617886179,0.7212225274725275,0.6791404078756802,0.8214972527472528,0.8439542803460289,-0.09039150874501395,-0.08157382307601321,0.430494595503433,0.4110207875614896,0.5308641975308642,0.3943089430894309,3.0,logreg
thorax,79,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.8847736625514403,0.9024390243902439,0.6237637362637363,0.6078600227032528,0.8746565934065934,0.8493560887775473,-0.08048720466933555,-0.07605456473973628,0.36925778425003264,0.37097216669179933,0.40329218106995884,0.42073170731707316,4.0,
