dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,stage_loss,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,1.549506425857544,0.00850820541381836,0.8847736625514403,0.9207317073170732,0.6637355584082156,0.7296035386631717,0.8679075738125803,0.9168577981651376,-0.08705766068106158,-0.06148500701102288,0.2963011828667794,0.29296878975017254,0.4979423868312757,0.3089430894308943,,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8436213991769548,0.8861788617886179,0.5,0.5,0.5,0.5,-0.13373547165161506,-0.10086588670764758,0.5113351532295534,0.5113351532295534,0.8436213991769548,0.8861788617886179,0.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8436213991769548,0.8861788617886179,0.5,0.5,0.5,0.5,-0.13373547165161506,-0.10086588670764758,0.5113351532295534,0.5113351532295534,0.8436213991769548,0.8861788617886179,0.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8436213991769548,0.8861788617886179,0.5,0.5,0.6685494223363286,0.7407437745740498,-0.12081530848972474,-0.08354373865340596,0.43693649932318457,0.4191244098249127,0.9382716049382717,0.5630081300813008,1.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8436213991769548,0.8861788617886179,0.5,0.5,0.6685494223363286,0.7407437745740498,-0.12035713774680204,-0.08369788352714848,0.4515997619993735,0.43482196768614245,0.9382716049382717,0.5630081300813008,1.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8641975308641975,0.8963414634146342,0.6836970474967907,0.7391874180865006,0.7306803594351732,0.8342480340760157,-0.10919896734554009,-0.07536805444187117,0.36655274961081813,0.3663672649647649,0.7242798353909465,0.5203252032520326,2.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8641975308641975,0.8963414634146342,0.6836970474967907,0.7391874180865006,0.7306803594351732,0.8342480340760157,-0.10938520978762974,-0.07560687368240906,0.39598620791888595,0.39549501063006764,0.7242798353909465,0.5203252032520326,2.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8600823045267489,0.9004065040650406,0.6491014120667522,0.7259174311926606,0.7909499358151476,0.870617627785059,-0.10578485442563651,-0.07317877551366939,0.34693333708123225,0.3482944322165763,0.5349794238683128,0.3943089430894309,3.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8600823045267489,0.9004065040650406,0.6491014120667522,0.7259174311926606,0.7942875481386393,0.8742627785058978,-0.10689101006318534,-0.07317829735633477,0.36687648420694524,0.37622056945015736,0.551440329218107,0.38414634146341464,3.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8600823045267489,0.9085365853658537,0.6062259306803595,0.7071592398427261,0.8096919127086007,0.8907273918741808,-0.10388429866786608,-0.06973335530743482,0.33488264624932335,0.3285043655489895,0.5226337448559671,0.36585365853658536,4.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8600823045267489,0.9085365853658537,0.6062259306803595,0.7071592398427261,0.8157894736842105,0.8948435452162518,-0.10460511474859487,-0.06964729935361541,0.35596070094049487,0.36059592082691894,0.5679012345679013,0.36788617886178865,4.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.9085365853658537,0.6456996148908858,0.7149410222804718,0.8254813863928112,0.9052670380078637,-0.09546618729379223,-0.06593829732402316,0.3196057468475137,0.30646719898183816,0.46502057613168724,0.28861788617886175,5.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8600823045267489,0.9085365853658537,0.6062259306803595,0.7071592398427261,0.8472400513478818,0.9032396788990825,-0.09298764695101978,-0.06760934328776126,0.35385910551754385,0.35007574577523903,0.4814814814814815,0.28658536585365857,5.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.9065040650406504,0.6456996148908858,0.7060124508519005,0.8396662387676508,0.9122092070773263,-0.0932358489297622,-0.06527263773450072,0.31477338155540024,0.29946465573292863,0.45267489711934156,0.2703252032520325,6.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8724279835390947,0.9065040650406504,0.6456996148908858,0.7060124508519005,0.8573812580231066,0.9105914154652687,-0.09146057943572239,-0.06714986737841633,0.35159551150436935,0.3476343904236859,0.4732510288065844,0.2764227642276423,6.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8806584362139918,0.9105691056910569,0.6398587933247754,0.700524246395806,0.8288189987163029,0.9130283420707732,-0.09320760786616795,-0.06572924866728294,0.30253266268078927,0.30219154452760927,0.5679012345679013,0.3252032520325203,7.0,
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8806584362139918,0.9126016260162602,0.6398587933247754,0.7094528178243775,0.8614249037227214,0.9161615334207077,-0.08889492713896001,-0.06652591911623043,0.3412603980411973,0.34172851498298407,0.43621399176954734,0.2764227642276423,7.0,logreg
thorax,83,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8847736625514403,0.9146341463414634,0.6422978177150193,0.687254259501966,0.856033376123235,0.9141956094364352,-0.09220569964000658,-0.06398487469532642,0.2965326520924821,0.3006960205530508,0.51440329218107,0.3150406504065041,8.0,
