dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",1.1724927425384521,0.009043693542480469,0.9012345679012346,0.9186991869918699,0.7469806763285024,0.7597330367074527,0.8746645195920559,0.9238439535992372,-0.07895203711692303,-0.05901964989617429,0.2891212241377418,0.28316192659237915,0.4526748971193416,0.27439024390243905,,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8518518518518519,0.8821138211382114,0.5,0.5,0.5,0.5,-0.12711606113351107,-0.10398902769515499,0.5232540732288677,0.5232540732288677,0.8518518518518519,0.8821138211382114,0.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8518518518518519,0.8821138211382114,0.5,0.5,0.5,0.5,-0.12711606113351107,-0.10398902769515499,0.5232540732288677,0.5232540732288677,0.8518518518518519,0.8821138211382114,0.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8518518518518519,0.8821138211382114,0.5,0.5,0.7270531400966184,0.7050293977435245,-0.10547866780478127,-0.09126618466647159,0.4524021000941309,0.45480348314039215,0.7448559670781894,0.6585365853658537,1.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8518518518518519,0.8821138211382114,0.5,0.5,0.7270531400966184,0.7050293977435245,-0.10642745279560117,-0.09137302970987247,0.4635622117557624,0.46581313401998553,0.7448559670781894,0.6585365853658537,1.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8518518518518519,0.8821138211382114,0.5,0.5,0.7938137412775095,0.7934013983791515,-0.09244081259812169,-0.08397878212868724,0.4039596982761987,0.4121016405639233,0.6255144032921811,0.5691056910569106,2.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8518518518518519,0.8821138211382114,0.5,0.5,0.7938137412775095,0.7934013983791515,-0.09425499417997497,-0.08419443531291507,0.42491273713249494,0.4323836657538186,0.6255144032921811,0.5691056910569106,2.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8943089430894309,0.5368357487922705,0.5517241379310345,0.7881776704240473,0.8246265692038773,-0.10109459383497585,-0.07596935725282089,0.35398224292784836,0.37707705641045514,0.7201646090534981,0.5264227642276422,3.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8943089430894309,0.5368357487922705,0.5517241379310345,0.7948872785829307,0.8264142698236135,-0.09903083300044555,-0.07688104583482779,0.3935772436182574,0.4112301916296469,0.6255144032921811,0.5691056910569106,3.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8806584362139918,0.8963414634146342,0.7119565217391304,0.7470602256475449,0.7879763821792808,0.8536270459240426,-0.0945294585000685,-0.07345726168927087,0.3517193199904916,0.3596579448984033,0.6502057613168725,0.45934959349593496,4.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8559670781893004,0.8943089430894309,0.5368357487922705,0.5517241379310345,0.7978395061728395,0.8545010328936913,-0.09570447328704498,-0.0739406794036614,0.3887699769941939,0.39549919176087667,0.6502057613168725,0.45934959349593496,4.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.9024390243902439,0.6986714975845411,0.6832989035436199,0.8221953837895868,0.8736691562053075,-0.09067148577537006,-0.07078341849257212,0.33481250812457386,0.34228696239885764,0.6049382716049383,0.3760162601626016,5.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.9085365853658537,0.7053140096618358,0.7315668202764978,0.8241411701556628,0.8707293818528524,-0.0914318700282055,-0.07107288698819143,0.375476269699902,0.38345765060169557,0.5967078189300411,0.3902439024390244,5.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.9065040650406504,0.6986714975845411,0.6781344350866041,0.8316559312936125,0.8850905768313999,-0.08731458651466373,-0.0688613778889499,0.3175872983727584,0.3287112657296062,0.5967078189300412,0.3516260162601626,6.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.9105691056910569,0.7053140096618358,0.7177816621643095,0.8430622651637144,0.8862625139043382,-0.09016311899577209,-0.06995681461019916,0.36261593103614476,0.371056294046946,0.5596707818930041,0.4146341463414634,6.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8888888888888888,0.9126016260162602,0.7397342995169083,0.741339583664389,0.8603059581320451,0.9028086763070078,-0.08188554743821952,-0.06588830454769672,0.3112351895436608,0.3140142159537344,0.4444444444444444,0.3130081300813008,7.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8724279835390947,0.9126016260162602,0.6382850241545894,0.6890592722072144,0.8755367686527106,0.9055498172572699,-0.08433159408079423,-0.06543541009805773,0.34806424230448146,0.3536111704729813,0.411522633744856,0.31910569105691056,7.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.9146341463414634,0.7493961352657005,0.7200858096297473,0.8637949543746646,0.9096813920228826,-0.07803280828413799,-0.06346831489286146,0.3058883507654844,0.30293108502769545,0.4403292181069959,0.3069105691056911,8.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.9166666666666666,0.7445652173913044,0.7361751152073732,0.8641975308641975,0.9162164309550294,-0.08427789586581913,-0.06433291307225343,0.3403451637271023,0.3446345302108887,0.44855967078189296,0.3313008130081301,8.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.9146341463414634,0.7493961352657005,0.7200858096297473,0.8788244766505637,0.9208048625456856,-0.07688063394231696,-0.06172106358766245,0.29288322102238806,0.2902601817658027,0.42386831275720166,0.2845528455284553,9.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.9166666666666666,0.7445652173913044,0.7361751152073732,0.8662104133118625,0.920824725885905,-0.08380578106684067,-0.063433700264045,0.3362054912380801,0.3410117786189746,0.4567901234567901,0.3292682926829268,9.0,logreg
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.9012345679012346,0.9186991869918699,0.7469806763285024,0.7597330367074527,0.8746645195920559,0.9238439535992372,-0.07895203711692303,-0.05901964989617429,0.2891212241377418,0.28316192659237915,0.4526748971193416,0.27439024390243905,10.0,
thorax,87,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",,,0.8847736625514403,0.9186991869918699,0.6799516908212561,0.6999841093278245,0.8647342995169082,0.9232877800730972,-0.08366256802167855,-0.060161142161520006,0.32988577172433425,0.334357988582798,0.4897119341563786,0.32113821138211385,10.0,logreg
