dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",0.25090599060058594,0.013606786727905273,0.8636363636363636,0.8804483188044832,0.6340692540088311,0.622440596562184,0.8272135719265629,0.889850859453994,-0.1066414909091864,-0.08114222407490039,0.2923076923076923,0.2608695652173913,0.7076923076923077,0.8434782608695652,0.7037037037037037,0.7317073170731707,0.7673716012084593,0.815406976744186,0.41304347826086957,0.38461538461538464,0.38712284503184985,0.37495955379139656,0.6742424242424242,0.3823163138231631,,,,,,,,,,,,,,,,,,
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8358585858585859,0.8567870485678705,0.5,0.5,0.5,0.5,-0.13763701085644484,-0.12270300197422804,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925917851217397,0.5925917851217398,0.8358585858585859,0.8567870485678705,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.0,
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8358585858585859,0.8567870485678705,0.5,0.5,0.5,0.5,-0.13763701085644484,-0.12270300197422804,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925917851217397,0.5925917851217398,0.8358585858585859,0.8567870485678705,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.0,logreg
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8358585858585859,0.8567870485678705,0.5,0.5,0.5,0.5,-0.13763701085644484,-0.12270300197422804,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925917851217397,0.5925917851217398,0.8358585858585859,0.8567870485678705,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.0,logreg_unregularized
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8358585858585859,0.8567870485678705,0.5,0.5,0.6689751336277017,0.7252085439838221,-0.12500953275997928,-0.1011167924976544,0.0,0.0,0.47692307692307695,0.5565217391304348,0.0,0.0,0.8610271903323263,0.8938953488372093,0.0,0.0,0.5080054784721423,0.4935408511293958,0.9747474747474747,0.7260273972602741,0.7260273972602741,0.9747474747474747,0.7260273972602741,0.9747474747474747,0.7260273972602741,0.9747474747474747,0.7260273972602741,0.9747474747474747,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,0.8567870485678705,0.8358585858585859,1.0,
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8358585858585859,0.8567870485678705,0.5,0.5,0.6689751336277017,0.7252085439838221,-0.12449647869340369,-0.10117202946517219,0.0,0.0,0.47692307692307695,0.5565217391304348,0.0,0.0,0.8610271903323263,0.8938953488372093,0.0,0.0,0.5169192880952141,0.5028334667723233,0.9747474747474747,0.7260273972602741,,,,,,,,,,,,,,,,,1.0,logreg
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8358585858585859,0.8567870485678705,0.5,0.5,0.6689751336277017,0.7252085439838221,-0.12500940273094802,-0.10111679250809165,0.0,0.0,0.47692307692307695,0.5565217391304348,0.0,0.0,0.8610271903323263,0.8938953488372093,0.0,0.0,0.508015603285756,0.49355126696718754,0.9747474747474747,0.7260273972602741,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8383838383838383,0.8717310087173101,0.6869625842435509,0.7223647623862488,0.7415524052986289,0.7831521739130435,-0.11533460257742334,-0.09518783209028595,0.46153846153846156,0.5130434782608696,0.9538461538461539,0.9565217391304348,0.5084745762711864,0.5566037735849056,0.2809667673716012,0.3328488372093023,0.4838709677419355,0.5339366515837104,0.4882624613984049,0.4627249570184787,0.6767676767676768,0.6338729763387297,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,2.0,
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8383838383838383,0.8717310087173101,0.6869625842435509,0.7223647623862488,0.7337671392052058,0.7877906976744187,-0.1157001611821804,-0.09522224478498698,0.46153846153846156,0.5130434782608696,0.9538461538461539,0.9565217391304348,0.5084745762711864,0.5566037735849056,0.2809667673716012,0.3328488372093023,0.4838709677419355,0.5339366515837104,0.5021091852942573,0.4760454460918858,0.6767676767676768,0.6338729763387297,,,,,,,,,,,,,,,,,2.0,logreg
thorax,88,"{'score_set': '(-1, 1)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl,"(-1, 1)",1,bisect,"('calibration_method', 'isotonic')",,,0.8383838383838383,0.8717310087173101,0.6869625842435509,0.7223647623862488,0.7337671392052058,0.7877906976744187,-0.11588390752509392,-0.09508738495855183,0.46153846153846156,0.5130434782608696,0.9538461538461539,0.9565217391304348,0.5084745762711864,0.5566037735849056,0.2809667673716012,0.3328488372093023,0.4838709677419355,0.5339366515837104,0.48897819082652594,0.4621157469949803,0.6767676767676768,0.6338729763387297,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
