dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",0.16712737083435059,0.00767207145690918,0.9259259259259259,0.9024390243902439,0.7816513761467889,0.7673964436221605,0.8779816513761468,0.9003666015691917,-0.05840435939160639,-0.0725319376988743,0.3269524519779263,0.34771618621406275,0.4814814814814815,0.3943089430894309,,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.5,0.5,-0.09369224055835858,-0.12057555026769777,0.5848772139013693,0.5848772139013694,0.897119341563786,0.8597560975609756,0.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.5,0.5,-0.09369224055835858,-0.12057555026769777,0.5848772139013693,0.5848772139013694,0.897119341563786,0.8597560975609756,0.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.6444036697247706,0.7304450611573645,-0.09371545890113397,-0.10821517292553876,0.4864116491068873,0.5029479097175634,0.6748971193415638,0.5264227642276423,1.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.6444036697247706,0.7304450611573645,-0.09285444966294272,-0.10828534493991428,0.5010650912212975,0.516190411722866,0.6748971193415638,0.5264227642276423,1.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.7145871559633028,0.8034912803645458,-0.08619004721335616,-0.09978059398731497,0.42980799349894416,0.45772281044913476,0.5555555555555556,0.49593495934959353,2.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.7092660550458716,0.8052900263816083,-0.08570546916930703,-0.09989755956258407,0.45231388762038865,0.4775745451883539,0.5555555555555556,0.49593495934959353,2.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8780487804878049,0.6816513761467891,0.6986329530270325,0.786697247706422,0.8498817966903074,-0.07477904076393986,-0.08914775176028195,0.3835749162917829,0.41760156443763974,0.48148148148148145,0.4186991869918699,3.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8780487804878049,0.6816513761467891,0.6986329530270325,0.776880733944954,0.8509096515572003,-0.07436682325600978,-0.08920406851336758,0.4118497943456651,0.4405260846917813,0.48148148148148145,0.4186991869918699,3.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.8882113821138211,0.6154128440366973,0.6135779627916538,0.8486238532110092,0.8607941891938191,-0.0666370016285793,-0.08250562399522467,0.34959438026693995,0.39470138540311084,0.4074074074074074,0.4186991869918699,4.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.8882113821138211,0.6154128440366973,0.6135779627916538,0.8286238532110092,0.8667900092506937,-0.0668976939253393,-0.0830176680756242,0.38602738057134434,0.42251516299939,0.4074074074074074,0.4186991869918699,4.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.8841463414634146,0.6154128440366973,0.593020865453798,0.8806422018348623,0.8788673039366841,-0.06388408098191987,-0.08083026878046674,0.3513160533814521,0.3763988064443496,0.3333333333333333,0.3617886178861789,5.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9094650205761317,0.8882113821138211,0.6839449541284404,0.6802857436529962,0.8629357798165138,0.8882036523109603,-0.06353519089778928,-0.08084091213667742,0.3866447664949145,0.410395396452486,0.3333333333333333,0.36585365853658536,5.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.8821138211382114,0.6154128440366973,0.5857744886422037,0.8868807339449541,0.8868160482406551,-0.06347443754249839,-0.08002292850961668,0.3477683513638815,0.36850689545154836,0.3168724279835391,0.3434959349593496,6.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9094650205761317,0.8882113821138211,0.6839449541284404,0.6802857436529962,0.8699082568807339,0.8964778839894473,-0.06318453729658469,-0.07964763958959545,0.3878219365742323,0.40537444089351304,0.37037037037037035,0.3638211382113821,6.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9094650205761317,0.8841463414634146,0.6131192660550459,0.6112138965978003,0.8895412844036698,0.8928803919553225,-0.061646715424009436,-0.07919982664264563,0.3405864365347041,0.36526453583369506,0.3251028806584362,0.33536585365853655,7.0,
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8922764227642277,0.6816513761467891,0.700842840990852,0.8761467889908257,0.900315208825847,-0.061794959209329495,-0.07785339045508612,0.37761436733669246,0.3994520818535919,0.37037037037037035,0.3821138211382114,7.0,logreg
thorax,9,"{'score_set': '(1,)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(1,)",1,bisect,"('calibration_method', 'isotonic')",,,0.9218106995884774,0.8861788617886179,0.7793577981651376,0.733682803988077,0.8808256880733946,0.8983451536643026,-0.062446598084530694,-0.07772556425873903,0.3319552447900772,0.35923735661708595,0.34156378600823045,0.36991869918699183,8.0,
