dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",0.38259100914001465,0.01172018051147461,0.9218106995884774,0.9004065040650406,0.6731192660550458,0.6631205673758865,0.8922935779816513,0.9068592181450646,-0.06163922745023936,-0.07213148470770421,0.294520858444194,0.3362264526914109,0.41975308641975306,0.3475609756097561,,
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.5,0.5,-0.09369224055835858,-0.12057555026769777,0.5848772139013693,0.5848772139013694,0.897119341563786,0.8597560975609756,0.0,
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.6444036697247706,0.7304450611573645,-0.09371545890113397,-0.10821517292553876,0.4864116491068873,0.5029479097175634,0.6748971193415638,0.5264227642276423,1.0,
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.6444036697247706,0.7304450611573645,-0.09285444966294272,-0.10828534493991428,0.5010650912212975,0.516190411722866,0.6748971193415638,0.5264227642276423,1.0,logreg
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.7092660550458716,0.8052900263816083,-0.08624927855382528,-0.09976779566200875,0.42943112216879514,0.45757692911921244,0.5555555555555556,0.49593495934959353,2.0,
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.897119341563786,0.8597560975609756,0.5,0.5,0.7092660550458716,0.8052900263816083,-0.08570546916930703,-0.09989755956258407,0.45231388762038865,0.4775745451883539,0.5555555555555556,0.49593495934959353,2.0,logreg
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8780487804878049,0.6816513761467891,0.6986329530270325,0.791651376146789,0.850498509610443,-0.07476163934031034,-0.08914562992647057,0.3833287854254783,0.4175624313561616,0.48148148148148145,0.4186991869918699,3.0,
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9053497942386831,0.8780487804878049,0.6816513761467891,0.6986329530270325,0.776880733944954,0.8509096515572003,-0.07436682325600978,-0.08920406851336758,0.4118497943456651,0.4405260846917813,0.48148148148148145,0.4186991869918699,3.0,logreg
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.8882113821138211,0.6154128440366973,0.6135779627916538,0.8594495412844038,0.8609654983383015,-0.0666232925840946,-0.08250543608910882,0.3494597461827157,0.3946957255611669,0.4074074074074074,0.4186991869918699,4.0,
thorax,9,"{'score_set': (1, 2), 'lookahead': 1, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl_prebin,"(1, 2)",1,bisect,"('calibration_method', 'isotonic')",,,0.9135802469135802,0.8882113821138211,0.6154128440366973,0.6135779627916538,0.8286238532110092,0.8667900092506937,-0.0668976939253393,-0.0830176680756242,0.38602738057134434,0.42251516299939,0.4074074074074074,0.4186991869918699,4.0,logreg
