dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",2.180332660675049,0.025576114654541016,0.8787878787878788,0.8767123287671232,0.6980837901725092,0.6996800853105839,0.8821354926318966,0.8726642592278422,-0.09059241090575873,-0.08768922130769692,0.4406779661016949,0.4462809917355372,0.9491525423728814,0.859504132231405,0.6341463414634146,0.627906976744186,0.6706231454005934,0.6950146627565983,0.52,0.5217391304347826,0.43362897377175164,0.41674652290035363,0.356060606060606,0.47073474470734744,,,,,,,,,,,,,,,,,,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.851010101010101,0.8493150684931506,0.5,0.5,0.5,0.5,-0.12679480243814156,-0.1279789829594058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6115666178515918,0.6115666178515918,0.851010101010101,0.8493150684931506,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.851010101010101,0.8493150684931506,0.5,0.5,0.5,0.5,-0.12679480243814156,-0.1279789829594058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6115666178515918,0.6115666178515918,0.851010101010101,0.8493150684931506,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.851010101010101,0.8493150684931506,0.5,0.5,0.5,0.5,-0.12679480243814156,-0.1279789829594058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6115666178515918,0.6115666178515918,0.851010101010101,0.8493150684931506,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.0,logreg_unregularized
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.851010101010101,0.8493150684931506,0.5,0.5,0.7188301564150278,0.6990135963743002,-0.10659070623404678,-0.10995384538051295,0.0,0.0,0.559322033898305,0.512396694214876,0.0,0.0,0.8783382789317508,0.8856304985337243,0.0,0.0,0.5381574833061429,0.5311987722046811,0.7601010101010102,0.8318804483188045,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,1.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.851010101010101,0.8493150684931506,0.5,0.5,0.7188301564150278,0.6990135963743002,-0.10668588167728142,-0.10999634329194481,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444605921541164,0.5376725295222101,0.851010101010101,0.8493150684931506,,,,,,,,,,,,,,,,,1.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.851010101010101,0.8493150684931506,0.5,0.5,0.7188301564150278,0.6990135963743002,-0.10658338831173016,-0.10995327551318117,0.0,0.0,0.559322033898305,0.512396694214876,0.0,0.0,0.8783382789317508,0.8856304985337243,0.0,0.0,0.5372837891064396,0.5303030685669783,0.7601010101010102,0.8318804483188045,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.8585858585858586,0.8779576587795765,0.5743600060353065,0.6358304452146094,0.7705577629130412,0.755095610867405,-0.10480083503746782,-0.10122183064259681,0.1694915254237288,0.2892561983471074,0.7457627118644068,0.6942148760330579,0.5882352941176471,0.7446808510638298,0.7210682492581603,0.7360703812316716,0.2631578947368421,0.4166666666666667,0.5088795018113929,0.4987971395164959,0.6161616161616161,0.684931506849315,1.506849315068493,1.4898989898989898,1.506849315068493,1.4898989898989898,1.506849315068493,1.4898989898989898,1.506849315068493,1.4898989898989898,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,0.8493150684931506,0.851010101010101,2.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.8585858585858586,0.8779576587795765,0.5743600060353065,0.6358304452146094,0.7705577629130412,0.755095610867405,-0.10498813761900819,-0.10135361582913288,0.1694915254237288,0.2892561983471074,0.7457627118644068,0.6942148760330579,0.5882352941176471,0.7446808510638298,0.7210682492581603,0.7360703812316716,0.2631578947368421,0.4166666666666667,0.5171320089506259,0.5079118360144711,0.6161616161616161,0.684931506849315,,,,,,,,,,,,,,,,,2.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'sigmoid')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'sigmoid')",,,0.8585858585858586,0.8779576587795765,0.5743600060353065,0.6358304452146094,0.7705577629130412,0.755095610867405,-0.10495197334452612,-0.10118900991429743,0.1694915254237288,0.2892561983471074,0.7457627118644068,0.6942148760330579,0.5882352941176471,0.7446808510638298,0.7210682492581603,0.7360703812316716,0.2631578947368421,0.4166666666666667,0.5081597645159616,0.49804768560848295,0.6161616161616161,0.684931506849315,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
