dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",0.8602628707885742,0.007899284362792969,0.8930041152263375,0.9207317073170732,0.673281990521327,0.7337959489872468,0.8470082938388626,0.916072768192048,-0.08564486271242633,-0.06320656216684252,0.26606645364097015,0.30183321082799075,0.5349794238683128,0.33536585365853655,,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8683127572016461,0.8739837398373984,0.5,0.5,0.5,0.5,-0.11437787292657632,-0.11013616233723313,0.5464106505273411,0.5464106505273411,0.8683127572016461,0.8739837398373984,0.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8683127572016461,0.8739837398373984,0.5,0.5,0.5,0.5,-0.11437787292657632,-0.11013616233723313,0.5464106505273411,0.5464106505273411,0.8683127572016461,0.8739837398373984,0.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8683127572016461,0.8739837398373984,0.5,0.5,0.6822422985781991,0.728694673668417,-0.10116395640727877,-0.0930097213259193,0.4407998764069691,0.45879160393303375,0.7901234567901235,0.6361788617886179,1.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8683127572016461,0.8739837398373984,0.5,0.5,0.6822422985781991,0.728694673668417,-0.10111895540847815,-0.0931330337912596,0.45537101177764516,0.472368724781795,0.7901234567901235,0.6361788617886179,1.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8847736625514403,0.8861788617886179,0.7083086492890995,0.7209302325581395,0.7363744075829384,0.8228432108027006,-0.09193376967512404,-0.08388915410202188,0.36385699901957264,0.40164026074548875,0.7037037037037037,0.5304878048780488,2.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8847736625514403,0.8861788617886179,0.7083086492890995,0.7209302325581395,0.7363744075829384,0.8228432108027006,-0.09154859542413224,-0.08407517313537366,0.3984963248553575,0.4297918676409882,0.7037037037037037,0.5304878048780488,2.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8765432098765432,0.9024390243902439,0.6505479857819905,0.7095273818454614,0.7696978672985781,0.8611590397599399,-0.09708900116781734,-0.07732746029949485,0.3147465693404821,0.3657519925013445,0.6296296296296298,0.4024390243902439,3.0,
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8765432098765432,0.9024390243902439,0.6505479857819905,0.7095273818454614,0.7723637440758293,0.8623218304576143,-0.09463407878820719,-0.07805001576889276,0.3666545356949392,0.40575017480395054,0.6131687242798354,0.4166666666666667,3.0,logreg
thorax,98,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'brute', 'stage_clf_params': ""('calibration_method', 'isotonic')""}",psl_prebin,"(-3, -2, -1, 1, 2, 3)",1,brute,"('calibration_method', 'isotonic')",,,0.8847736625514403,0.9024390243902439,0.6817979857819905,0.7164291072768192,0.8067979857819905,0.8778319579894973,-0.08961072749244922,-0.0728240427920724,0.29477116664481784,0.344708620685042,0.5679012345679012,0.40447154471544716,4.0,
