dataset,fold,params,clf,score_set,fit_time,score_time,test_acc,train_acc,test_aaacc,train_aaacc,test_bacc,train_bacc,test_ece,train_ece,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_cov,train_cov,test_eff,train_eff,n_features,stage,clf_variant
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",8.636018514633179,0.014001607894897461,0.64,0.55,0.8083333333333332,0.7908333333333334,0.46323529411764713,0.32575757575757575,0.16942724159195519,0.0866587262759129,,,,,,,,,,,,,,,0.5822109116202043,0.563790480714875,1.0,0.98,1.86,1.83,3.0,,
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.26,0.32,0.6666666666666665,0.6666666666666669,-0.17095588235294112,0.0405525846702317,0.006666666666666765,0.0033333333333334103,,,,,,,,,,,,,,,0.9182958340544894,0.9182958340544894,1.0,1.0,3.0,3.0,,0.0,
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.002014489029534161,,0.32,0.34,0.32,0.34,0.0,0.0,0.019999999999999907,5.551115123125783e-17,,,,,,,,,,,,,,,0.9182238168441618,0.9182238168441617,0.32,0.34,1.0,1.0,,0.0,nb
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.32,0.34,0.32,0.34,0.0,0.0,0.020000000000000018,5.551115123125783e-17,,,,,,,,,,,,,,,0.918223816844162,0.918223816844162,0.32,0.34,1.0,1.0,,0.0,logreg
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.32,0.34,0.32,0.34,0.0,0.0,0.020000000000000018,5.551115123125783e-17,,,,,,,,,,,,,,,0.918223816844162,0.918223816844162,0.32,0.34,1.0,1.0,,0.0,xgboost
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.32,0.34,0.32,0.34,0.0,0.0,0.020000000000000018,5.551115123125783e-17,,,,,,,,,,,,,,,0.918223816844162,0.918223816844162,0.32,0.34,1.0,1.0,,0.0,random_forest
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.32,0.34,0.32,0.34,0.0,0.0,0.020000000000000018,5.551115123125783e-17,,,,,,,,,,,,,,,0.918223816844162,0.918223816844162,0.32,0.34,1.0,1.0,,0.0,miss
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.38,0.45,0.7216666666666666,0.7225,0.04044117647058825,0.23440285204991088,0.23707515450575647,0.224585322951227,,,,,,,,,,,,,,,0.7552428416142678,0.7527723417288098,1.0,1.0,2.34,2.33,,1.0,
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.66,0.67,0.66,0.67,0.49999999999999994,0.49999999999999994,0.02918144876078408,0.02306615804251944,,,,,,,,,,,,,,,0.5402471399510529,0.5450175787840263,0.66,0.67,1.0,1.0,,1.0,nb
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.007432067999616265,,0.66,0.67,0.66,0.67,0.49999999999999994,0.49999999999999994,0.03683782298531601,0.05099109128406414,,,,,,,,,,,,,,,0.6231097007399128,0.6271878279715389,0.66,0.67,1.0,1.0,,1.0,logreg
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.07727256999351084,,0.66,0.67,0.66,0.67,0.49999999999999994,0.49999999999999994,0.017587990760803224,0.0074233835935592655,,,,,,,,,,,,,,,0.4809327147927051,0.48700854288183404,0.66,0.67,1.0,1.0,,1.0,xgboost
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.44665024196729064,,0.66,0.67,0.66,0.67,0.49999999999999994,0.49999999999999994,0.010971703324172247,0.00401357389818886,,,,,,,,,,,,,,,0.43999724807024204,0.4466638730410033,0.66,0.67,1.0,1.0,,1.0,random_forest
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.041449750075116754,,0.68,0.66,0.835,0.8325,0.49999999999999994,0.49999999999999994,0.048804716739824505,0.033020591213348265,,,,,,,,,,,,,,,0.5860562799745397,0.5900353713719511,1.0,1.0,1.66,1.67,,1.0,miss
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.66,0.6,0.8083333333333332,0.7908333333333334,0.5533088235294117,0.41443850267379695,0.17536128004409457,0.08417349168975283,,,,,,,,,,,,,,,0.5989332378636291,0.5794750394221152,1.0,0.98,1.86,1.83,,2.0,
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.10175543782877489,0.024389692912993373,,,,,,,,,,,,,,,0.5281962526400052,0.5217842102342868,0.76,0.68,1.0,1.0,,2.0,nb
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.011039099073968828,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.1317358517744129,0.054595884771423964,,,,,,,,,,,,,,,0.6163489528986477,0.613018622853604,0.76,0.68,1.0,1.0,,2.0,logreg
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.051424149074591696,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.07982326745986938,0.007363146543502808,,,,,,,,,,,,,,,0.4776093679679627,0.48293500821359286,0.76,0.68,1.0,1.0,,2.0,xgboost
